org.thoughtcrime.securesms#30006:	  Can't use it with pushbullet. 
org.thoughtcrime.securesms#31476:	  Very well designed app. The interface is familiar and modern and the experience is fast and responsive. The encryption feature is a huge draw and the sms support is a nice bonus. My only issue is the lack of Android wear support. If Android wear was supported I would likely switch to signal as my daily sms driver. 
org.thoughtcrime.securesms#31507:	  1 bug 
org.thoughtcrime.securesms#31508:	  A simple, secure messaging service. And it's open source. It's the best (text based) messaging choice at the moment. However, there are a few issues. Notably syncing. If you haven't been on a device for a while, prepare to sit and wait while all the messages sync. Also loses one star for being dependent on Google Play Services. 
org.thoughtcrime.securesms#31513:	  Seems like this update was not properly debugged. The date sticky seems to be the problem. Now all my messages jump around. Multiple duplicates. Missing messages. Messages out of order. What a mess. First they dumbed down the time stamp on the messages after an hour, now this. Lets go back to the simple and precise 24 hour military time possible time stamps on every message. The app is getting too complicated and with these bugs I'm can't help but ask myself if this app is secure enough anymore. 
org.thoughtcrime.securesms#31518:	  Great app. Only issue is call sound quality. 
org.thoughtcrime.securesms#31520:	  Problems with MMS, texting more recipients fails as well. Doesn't recognize groups from Google account nor internal (Samsung). Annoying invite pop up at every contact for the first time. Otherwise a decent app. 
org.thoughtcrime.securesms#31524:	  It sucks. Buggy. Greedy about storeage space. Usually fails to send message4 notifications 
org.thoughtcrime.securesms#31530:	  Issues with clear voice conversations, especially if you try to use speaker. That I do not like, cause I can't put calls on speaker. Pain in the old .... 
org.thoughtcrime.securesms#31532:	  Good app that is secure and replaces the existing messenger app without any problem. 
org.thoughtcrime.securesms#31535:	  Sometimes the messages take a long time to get through, McClung this app unreliable. Please fix. 
org.thoughtcrime.securesms#31536:	  I started using Signal as main SMS client and it's excellent, much better than any of Google's offerings. At the moment few of my contacts use it, so I don't use the cryptographic features at all. But hopefully people will come for the SMS and stay for the free cryptography. 
org.thoughtcrime.securesms#31547:	  App has issues messaging with iPhone users. Some iphone users have a signal account, but either don't get notifications or have uninstalled the app. The solution is of corse to send messages as sms, but It's difficult to force this app to send messages as mms. 
org.thoughtcrime.securesms#31552:	  Great texting app all around. Security never hurts, I like having an extra password on my communication and knowing that it's encrypted. Features between other signal users work well. Only downside is the slightly-too-frequent updates that cause issues. 
org.thoughtcrime.securesms#31559:	  Just a little buggy on Android. Secure, easy to install. Having some problems with texts, pics, but it brought all my old messages over when I installed it as default messenger 
org.thoughtcrime.securesms#31570:	  Works great haven't had any problems using this app except for some reason my custom notification tones (music ones) do not seem to work. Not sure if I need to change something or not. Other then that great app!!! 
org.thoughtcrime.securesms#31580:	  After using this for a couple of weeks, I am done with it. Works for about 24 hours and then I have to unregister and then register again for it to work. Unable to find a solution. Galaxy S7. Have submitted multiple bug logs. No response. 
org.thoughtcrime.securesms#31583:	  Problem received mms 
org.thoughtcrime.securesms#31587:	  Text messaging with Signal works fine. Voice calls don't work at all. All I see when I try to call someone is a black screen. Other applications like WhatsApp and Hangouts don't have that problem on my phone. Another problem I have had is that Signal won't let me send video recordings. The app complains that the message is too large and exceeds its limit -- even though the video runs just for a minute. Other tools don't seem to have this issue. 
org.thoughtcrime.securesms#31607:	  Great app, I have not encountered any bugs, glitches, of anything of the sort, very user friendly, and actually private highly suggested 
org.thoughtcrime.securesms#31618:	  Update: the app works fine e with imessage, but gives a notification of undeliverable when I'm texting another Android user. This means I won't know when my recipients actually do not receive my text. This app has two issues 1 i can live with and one I cannot. 1) Messages won't send over WiFi. 2) when delivering messages the phone sometimes give delivery error messages that seem to be untrue. In my own testing the issues seem to be that the the app doesn't play well with iMessage. The Debug system they use can't capture the issue so for them it doesn't exist. Their answer is to turn off notifications for all message so I never have delivery confirmation. I say fix the app. They say no. 
org.thoughtcrime.securesms#31630:	  So easy to use there is no excuse not to use it! 
org.thoughtcrime.securesms#31635:	  Did seem secure at first but i have had some issues wheee people i send to loses or changes security number but when I talk to them they had no change that ahould cause this. Leavees me to think its been hacked. 
org.thoughtcrime.securesms#31639:	  Find this excellent..no problem with it at all. 
org.thoughtcrime.securesms#31652:	  And this coming from someone who didn't download it for security reasons either. It's best feature in my eyes is its blazing speed. I might uninstall over the "Invite to Signal" banner at the top of every conversation though. It's obnoxious. There are also few in the way of customization options. I would at the very least like an option to remove all contact photo bubbles. That alone would make me like it a lot more. Edit: Please get rid of the sticky time stamps. They're too big and draw my eye away from the text. The old implementation was better. 
org.thoughtcrime.securesms#31670:	  The main problem with group sharing is that you can't tell people's names if they're not in your contact list. 
org.thoughtcrime.securesms#31678:	  After making one voice call, i am unable to make another voice call to same person. This is a very serious bug 
org.thoughtcrime.securesms#31681:	  Amazing but one big and one request. Bug: when using the direct reply feature on 7.1.1, signal sometimes crashes when trying to send a message. Request: RCS!! 
org.thoughtcrime.securesms#31695:	  Currently having an issue with notification not resetting to zero (no number next to icon) after I've read everything. How do I fix this? 
org.thoughtcrime.securesms#31706:	  MMS messages just keeps spinning and doesn't download for some reason 
org.thoughtcrime.securesms#31725:	  Looks nice, but pesters you constantly to advertise to your contacts (every single time you start a new conversation that it hadn't seen before) and pops up wanting you to rate it. Also has iPhone emoticons for some reason so it doesn't look consistent with anything else on your phone (this can be turned off, but it's an annoying default that doesn't make much sense). Also the server doesn't federate and you can't run your own. 
org.thoughtcrime.securesms#31739:	  Great. An app that is both free, open source, easy to use, and can't be intercepted. Call quality is excellent. There's a desktop version too! The biggest problem is that it takes over from your default phone app and caller ID often doesn't work. "Reset secure session" wipes your message history on desktop. Could really do with a way to customize the invite message. 
org.thoughtcrime.securesms#31749:	  Love it only one annoying bug 
org.thoughtcrime.securesms#31762:	  I've had some issues with poor signal causing errors in message delivery, especially mms. But overall I love the app. 
org.thoughtcrime.securesms#31778:	  No runtime permissions. 
org.thoughtcrime.securesms#31783:	  I don't use the encryption feature I just use it for sms's and it's absolutely awesome just to do that! 
org.thoughtcrime.securesms#31805:	  Easy seamless integration, my only complaint is that I'm in a low service area and signal doesn't send insecure text over wifi. It's a feature not a bug. 
org.thoughtcrime.securesms#31807:	  Great app, reduced the stars because I recently switched to Project Fi on a Pixel XL; works flawlessly for texting and receiving calls, but for some reason I cannot make calls. Please fix, thank you! Update: well it was fixed for a little, but I don't know what happened, calling doesn't work at all anymore!! It's like this app is deteriorating :( 
org.thoughtcrime.securesms#31810:	  The only issue i have is that sometimes signal to signal messages are delayed upwards of a day. Sms doesnt have this issue, though. 
org.thoughtcrime.securesms#31815:	  Loved the app at first! Downside is you have to make it your default message app and import all contacts. Would not let me use mms no matter what i did! So to uninstall it destroys all messages you save and you can't get them back after going back to your old messaging app! 
org.thoughtcrime.securesms#31816:	  Good, apart from when messages fail to send. Should auto retry. 
org.thoughtcrime.securesms#31832:	  I love this app. Everything is great about it, except for a couple of minor issues: 1, the picture compression is a bit more "harsh" than other standard messaging apps. 2, the group messaging feature is less convenient than the standard app (at first). Once you get it all set up though you get used to it. 
org.thoughtcrime.securesms#31835:	  Not able to place call.please fix it.great app. 
org.thoughtcrime.securesms#31844:	  Just getting started. So far so good. One weirdness was when attempting SMS to a phone number off the desktop app. Rejected the text with "unregistered number" error message. We have to be able the sent to unsecured respondents too... 
org.thoughtcrime.securesms#31856:	  Very user-friendly, completely replaces your phone's default messenger app without issues. 
org.thoughtcrime.securesms#31865:	  MMS images sent to my galaxy s7 fail and I can't ever see them. 
org.thoughtcrime.securesms#31866:	  Great interface even if your friends don't use encryption (which everyone should). 
org.thoughtcrime.securesms#31871:	  It's got some issues sending and receiving regular messages to people who are using regular SMS messaging. As well, it's got additional issues in that area for sending multimedia messages, like photos. 
org.thoughtcrime.securesms#31892:	  voice calls cause had connections issues recently, but beside that a perfect messenger 
org.thoughtcrime.securesms#31896:	  I haven't had any problems with the app and I love that it's secure. I tell all my friends about it, definitely glad I got it :) 
org.thoughtcrime.securesms#31904:	  Sometimes send or sharing a file is a problem. Also sendng a link from YouTube. 
org.thoughtcrime.securesms#31909:	  I haven't used all the functionality of the device because of can't use it with my smart watch (Samsung gear s3), however for secure messaging I will be using and encouraging other friends to use it. 
org.thoughtcrime.securesms#31910:	  This is a good app. The issues that I have had is the delay in receiving messages on more to than occasion. Other than that, the app is good, but not being able to get messages in a timely manner, that's a big negative. 
org.thoughtcrime.securesms#31916:	  First no contacts, cannot send any msg to anyone. After full data delete and re-reg, msg ok but calling not working, did not ring out at other end. Only other party can call me. The call quality: other party cannot hear me just quietly (in other apps it is ok). 
org.thoughtcrime.securesms#31919:	  Great application, only issue is notifications being iffy on iPhones everything else  
org.thoughtcrime.securesms#31931:	  Works really well. Only reason it got 4 stars is that it very occasionally crashes, but my phone is old and most apps crash now and then. 
org.thoughtcrime.securesms#31938:	  I like the app. My biggest problem is how complicated the setup set up. You need to put a lot of numbers in front of your phone number if you what encrypted messages. 
org.thoughtcrime.securesms#31945:	  Fake limmitations and ratings are unknown with false positives to say true rating fixed not score actualls! This should be unrated because it uses provision intents within apps 
org.thoughtcrime.securesms#31952:	  Resolves HIPAA compliance issue 
org.thoughtcrime.securesms#31963:	  Excellent. Too bad it doesn't work without data transfer enabled. 
org.thoughtcrime.securesms#31968:	  I cannot download images. I sent an email for help and I received no response 
org.thoughtcrime.securesms#31969:	  It's a nice clean app, but having issues with sending SMS's. "SmsSentJob: Service connectivity problem, requeuing..." which is weird because I receive them just fine. 
org.thoughtcrime.securesms#32009:	  A lot of bugs 
org.thoughtcrime.securesms#32032:	  Only problem is can't send message to multiple contacts at the same time. 
org.thoughtcrime.securesms#32045:	  Good app with potential. It's hard to compete with the other messaging apps since you have to convince people to switch. Also, it only supports verifying your identity with your phone number, so you can't use it with only data. 
org.thoughtcrime.securesms#32051:	  A very good and needed app. If only it had more blocking and muting options i would have used it as the default sms app. EDIT: be carefull when using this app to sent secure text if it is also set as your sms app.if the network secure send fails it sends it as plain text sms with no way to change this behavior . 
org.thoughtcrime.securesms#32052:	  Facing issues for calling after updating to Nougat 
org.thoughtcrime.securesms#32059:	  Voice calling are only possible within the same flat, on the same wifi network. We are all awaiting for resolving this problem with our deep thanks. 
org.thoughtcrime.securesms#32063:	  Good security, and it doesn't get in your way! 
org.thoughtcrime.securesms#32068:	  Only complaint is that it doesn't work as good as most other apps on Android wear. 
org.thoughtcrime.securesms#32112:	  Love it except did update and now it doesn't work 
org.thoughtcrime.securesms#32135:	  Great app! Unfortunately voice calls don't work sometime. 
org.thoughtcrime.securesms#32138:	  Crashes non stop on note 5 since last os update. Drains battery and will not run 
org.thoughtcrime.securesms#32144:	  The app is not supporting gifs in gBoard. Went from being crossed out to an error about size limits. Can send screen shot. I don't have a GitHub acct. Otherwise, 5 stars! 
org.thoughtcrime.securesms#32148:	  Fewer people use it so it doesn't work to it s full potential 
org.thoughtcrime.securesms#32162:	  Crashes sometimes, otherwise it's awesome 
org.thoughtcrime.securesms#32178:	  Love Signal. Only as good as your contacts who are willing to join though. And the inability to attach multiple attachments such as pics to a single text is annoying. Also I do have an issue with delayed receipt of texts very frequently. Not sure if this is a Signal server issue or carrier issue. Overall great privacy app. 
org.thoughtcrime.securesms#32191:	  Very slow and delivery of messages fail consistently 
org.thoughtcrime.securesms#32195:	  It does not deliver messages anymore now 
org.thoughtcrime.securesms#32198:	  Error to call between two Saudi phone number 
org.thoughtcrime.securesms#32204:	  + insane that they are even bringing Android auto support which is plain amazing - Why can't I enter the code directly if sms verification fails without having to press call me button * hope they can add video to it * having trouble registering old account from a new phone 
org.thoughtcrime.securesms#32213:	  Sometimes I get the same message twice, many days apart... 5 stars when this bug is fixed! 
org.thoughtcrime.securesms#32230:	  No dual SIM support. Cannot register Signal for both sim cards. 
org.thoughtcrime.securesms#32243:	  Great app. Not customisable but I don't really care. It does crash every now and then. 
org.thoughtcrime.securesms#32248:	  Can't register, keep showing connectivity error 
org.thoughtcrime.securesms#32257:	  Actually this app sucks pretty BAD. It allowed me to send a GIF 3 times, then it stopped for no reason. Cannot send pictures or GIFS. This app sucks....do not download. 
org.thoughtcrime.securesms#32261:	  Awesome if it works, but it constantly drops calls or fails to connect even when both phones are on WiFi. Call quality is bad compared to e.g. WhatsApp. Does not signal when call drops, and will completely drop call instead of reconnecting if the other person doesn't have Internet for a few seconds. Used to also have issues where messages often were delivered minutes or hours later despite both phones having Internet - that seems to have improved but current version drops calls exactly every 10 min. Edit: now calls don't work at all. Splendid! 
org.thoughtcrime.securesms#32264:	  Great app, except it keeps crashing on me. I'm not giving up on it yet, but I'm close. Too bad because in all other respects, it's excellent 
org.thoughtcrime.securesms#32265:	  The app was fine till the most recent update. Any time you have to go to the middle of a word to fix it, the delete removes every word and letter to the right of the cursor. And when you delete from the end of a sentence, it adds words that weren't previously there and takes forever to delete. Would have given 5 stars before the update messed it up. 
org.thoughtcrime.securesms#32266:	  Multimedia messages sometimes fail to go through. Otherwise, a solid messenger app 
org.thoughtcrime.securesms#32270:	  It works good. It has some minor annoyances such as hassles me to rate it before I can get a good feel for its ultimate abilities, hassles to get all my contacts on board by hassling them like a used auto sales man whose overwhelmingly trying to do things I am not ready to do without even giving me time for doing research and time for considerable consideration. Hassles false notifications constantly. Annoying and tacky marketing. I cannot get app for my tablet. If they would stop hassling me to do this review and get a chance to get to test it out fully, I may be giving it a 5 star rating. Other than that, I still need to run my default messing app and that app has access to my network and possibly still can see what is going on with my data even if it is encrypted. I still need to see how that goes. I have a bachelor in IT risk management and Cyber security and really need more time to give a better rating. Otherwise, so far it seems like a good app for the most part on it's functionality. tablet 
org.thoughtcrime.securesms#32291:	  I love the mobile app however the Desktop app lacks polish. More importantly you can only connect a maximum of three devices to your account. A person with a mobile phone, home laptop and home desktop therefore cannot use the desktop app from a work desktop or laptop. This seems very limiting, especially since people tend to have multiple devices at home and work. 
org.thoughtcrime.securesms#32317:	  I used to be vary happy with this but after the latest update im.unable to set signal as my default and app anymore. Fix this and I will rate 5 star 
org.thoughtcrime.securesms#32330:	  Finally! A customizable messaging app that works. MMS, GIF, text - it all works. Unfortunately, most of my friends do not seem concerned about the relative unsecured nature of other text messaging apps and haven't signed up. Even though, it works. Need better pop-up options though. But after going through 13 other apps that I had issues with, I'm very pleased 
org.thoughtcrime.securesms#32413:	  Cool app makes you feel safe but cannot download MMS messages or group text. 
org.thoughtcrime.securesms#32426:	  Good food is secure but annoying that it constantly promotes itself, asking you to contact anyone you message who hasn't downloaded it yet, which is most people 
org.thoughtcrime.securesms#32438:	  Great Application, works quickly and accurately. You don't get datamined. Highly recommended if you value your privacy & security. 
org.thoughtcrime.securesms#32440:	  MMS messages fail to download on AT&T Moto X (2015), and there don't seem to be any manual MMS settings to attempt to debug things. 
org.thoughtcrime.securesms#32441:	  This is a small and tidy SMS application that will do everything you need it to do. It's fast, easy to use, and seamlessly handles real SMS (with those who don't have Signal) and secured messages. Personally, I prefer it to other leading SMS apps, even without the security asset. The main problem is that there are very few users. The only person I actually have secured messages with, I persuaded to download the application. 
org.thoughtcrime.securesms#32442:	  Excellent texting app, the encryption is totally seamless, no user set-up required. Just want to acknowledge the uphill battle the devs have so marvellously won - not only is this the most secure texting app on the market, but it competes with and exceeds most other texting apps. Download it, you won't be disappointed. Update: the encrypted calls lag by about three seconds. If your first concern is a private conversation, it'll do, but it's not really a drop-in replacement for regular calls. 
org.thoughtcrime.securesms#32465:	  It's almost perfect. It stops working sometimes in my Moto G4. 
org.thoughtcrime.securesms#32466:	  I'm impressed so far. Haven't had any problems. I believe in people's right to privacy and shame on any government that invades that based on false claims and fear mongering. 
org.thoughtcrime.securesms#32477:	  I love the privacy features of this app, but I find it odd that you can't use voice recognition to create a text. I don't want to send an audible message within my messaging app, I just want to have a hands-free option. If this were possible, I'd bump up my stars! 
org.thoughtcrime.securesms#32479:	  I really like this app as a texting app and using it for private messaging. But the one thing that is super annoying is that there is no MMS options. 300kb is just too small. I can text gifs to signal users just fine but regular text doesn't work. 
org.thoughtcrime.securesms#32506:	  Superb! Very easy to use and never any bugs. 
org.thoughtcrime.securesms#32512:	  It works just fine. Getting more people to join is the problem... 
org.thoughtcrime.securesms#32526:	  Doesn't seem to work with T-Mobile MMS. Hopefully that will be fixed soon, as I'd love to use this app. 
org.thoughtcrime.securesms#32530:	  Dev sees no privacy problem in using Google's Play Service. And the servers needed for routing are based in NYC - witch meens that all connections are going through the USA. 
org.thoughtcrime.securesms#32535:	  Fantastic app but doesn't work properly with pushbullet, making it inconvenient at times 
org.thoughtcrime.securesms#32551:	   Indistinguishable from normal SMS. Works with other Signal users or (non-encrypted) anyone else. I can't figure out how to make the LED blink, but that's likely an Android configuration issue. 
org.thoughtcrime.securesms#32561:	   The UI is clean, no lag whatsoever and it works seemlessly. Don't feel the need for SMS or MMS at all. The only drawbacks are opportunities to get more people on-board (which I feel would make Singal overthrow others) and fix minor feedback like scheduling messages etc. 
org.thoughtcrime.securesms#32569:	   Must have app. Red phone integration is awesome but still has issues, latency and sometimes just no sound. Overall  app. Thank you 5 STARS * * * * * all the way! 
org.thoughtcrime.securesms#32579:	   Works well. Only crashed once so far in the couple of weeks I've used it as my default sms. Wish you could have favorite contacts at the top like Samsung's native app. 
org.thoughtcrime.securesms#32580:	   Love the security and wifi messaging. HATE the page of privileges needed for this app. Seriously guys? Recently started crashing with one of the updates or a change in carriers. Haven't opened a report/bug yet. 
org.thoughtcrime.securesms#32587:	   I have loved using signal for a very long time however since updating to the newest it keeps crashing. 
org.thoughtcrime.securesms#32592:	   Love the app! But has major bugs. Like when u type something ans u send it. If u want to type another message the app repeats ur sentence. Please work on bugs, will give 5 stars then! 
org.thoughtcrime.securesms#32594:	   Super APP mit tollem Aufbau. Teilweise ein paar Bugs. Edit 17.1.17 : tells me that their is a Problem and app breaks down 
org.thoughtcrime.securesms#32595:	   Can only trim messages not delete and trim does not work. Huge security issue. Other than that works fine but since that was intentional all security in app is questionable in my book. Data sanitization is a tennant of security. 
org.thoughtcrime.securesms#32608:	   Good secure app but notifications are not working in my case even if Signal has all authorisations in its settings and in system settings. Tried cleaning cache+data erase + phone factory reset many times. Even tried with Nova launcher+TeslaUnread. Problematic cause I need to check manually. Android 6, FlymeOS 5, Meizu M3 Max. 
org.thoughtcrime.securesms#32627:	   I have an LG G5 and found this app to be full of glitches. It constantly fills my notifications pull down with notifications of new contacts available. It also refuses to fetch MMS messages, showing a connection error every time. I had high hopes. 
org.thoughtcrime.securesms#32629:	   This app is easy and fixed my problems working with iOS users! 
org.thoughtcrime.securesms#32633:	   App works great. The reason why I gave it a 4 instead of a 5 is due to the app crashing once in a while when replying from the notification bar. 
org.thoughtcrime.securesms#32637:	   Not a single problem so far, great app 
org.thoughtcrime.securesms#32643:	   Privacy is paramount for liberty. This gives you privacy. The encrypted VOIP calls are better than my service provider. Crystal clear. A great way to get others interested in privacy issues. 
org.thoughtcrime.securesms#32645:	  Doesn't work without data connection. Uninstalled. 
org.thoughtcrime.securesms#32650:	   ...but from a while, the updating process give an error code "-11", and i don't know what to do. Any solution? (android 2.3.4 on a Samsung i9000) 
org.thoughtcrime.securesms#32694:	   Simple app, even if you send text to someone who haven't the app installed, it send a simple text (SMS). The only "bug" is when writing a long message, the message window doesn't enlarge and we have to scroll through. 
org.thoughtcrime.securesms#32709:	   The app is wonderful and has been working perfect. However the most recent update has caused the app to crash randomly when opening, without any other reason. Droid Turbo, Android 6.0.1 and kernel version 3.10.40 
org.thoughtcrime.securesms#32712:	    on Motorola X Pure T-Mobile Network. What's the Fix? 
org.thoughtcrime.securesms#32713:	   Very frequently my texts arrive hours or even a day late! It's caused several misunderstandings already and I am thinking of going back to my old app, unless this bug is fixed soon. Would be sorry to do so, though. 
org.thoughtcrime.securesms#32723:	   The only issue I have encountered is the appearance there are two instances of the application running when selecting "close all" applications in Android. Other than that, awesome application. 
org.thoughtcrime.securesms#32732:	   Call quality and reliability (people calling me or messaging me and I not getting either) not quite there. Also want to have a 'schedule measage' option. 
org.thoughtcrime.securesms#32740:	   Wish for a way to save drafts. Lately been crashing at regular use-intervals. 
org.thoughtcrime.securesms#32741:	   Easy to use, came highly recommended. Only problem I have had is that it doesn't alert to my Gear2 but that is probably user error and I just need to figure it out. 
org.thoughtcrime.securesms#32743:	   MMS does NOT work on T-Mobile! There used to be a feature that supported T-Mobile MMS but it got removed. Now it won't display any group texts or URLs or pictures! Great privacy if app is locked. NEEDS FEATURES for: search within messages in a chat/string, need the ability to select-all messages to delete from within a string, the ability to lock individual messages to protect from deletion, and the addition of a private inbox with stealth mode to further secure private messaging. 
org.thoughtcrime.securesms#32745:	   Hi-signal engineers. The software does not work in the Islamic Republic of Iran. Because of the serious filtered by the government.we must use VPN for use Signal.. Please try to fix the problem. Thanks 
org.thoughtcrime.securesms#32750:	   Would like to have the ability to set separate notifications for sms and signal chats. Sms search also doesn't work. 
org.thoughtcrime.securesms#32764:	   I cannot get past the setup. I can reserve the confirmation text but then It says connectivity error. Unable to connect to server. I am using a red mi note 3. In Singapore. Not sure if there is anyway to fix. 
org.thoughtcrime.securesms#32766:	   Notifications often don't work for incoming messages using Android 4.4.6 - it does not notify until I manually re-open the app. Finally switch back to Whatsapp which does better with notifications. 
org.thoughtcrime.securesms#32777:	   I was in the process of setting up signal. It failed to verify sms. The next option was to call my phone and provide me with a code. I did this three times. No call. The third time it said I tried too many times and must wait 20 minutes. 
org.thoughtcrime.securesms#32793:	   Doesn't work in Thailand. Registration SMS never goes through. 
org.thoughtcrime.securesms#32811:	   This is poor coding my friends. So anyone in my contact list of 800 friends family and business contacts just shows up in Signal (without permission) and I can't remove them. This needs to be fixed. 
org.thoughtcrime.securesms#32815:	   This app provides the exact privacy I was looking for minus one big problem. Though u can disable the screenshot feature. Who ever yr msging can easily have it off. Giving them the ability to have record of anything you send them 
org.thoughtcrime.securesms#32818:	  Only issue is the calling never connects for me.but otherwise great. Issue fixed in settings 
org.thoughtcrime.securesms#32829:	  It's a great app, but I wasn't receiving notifications until I opened the app. It seems like this might have been fixed in the latest update, but I haven't received enough messages to know for sure. 
org.thoughtcrime.securesms#32843:	   Overall, this is the best messaging app I've found for easy-to-use encrypted communication. The big issue for me is the lack of backup/restore for media messages. I wish I could've migrated more than just the plain-text when switching to a new device. 
org.thoughtcrime.securesms#32845:	   No text searching, I occasionally get bad encryption messages and have to reset. An issue absent on other e2e encryption Apps. 
org.thoughtcrime.securesms#32856:	   It shows too many errors of bad encrypted message !! Please fix this 
org.thoughtcrime.securesms#32860:	   The app tries to auto verify the text message it sends you, but it doesn't let you put the code in yourself, so if it fails to detect your code you have to wait 2 minutes before you can try again or try the phone call. Terrible system. 
org.thoughtcrime.securesms#32871:	   After the last update. The app keeps crashing every time i open the app. Opens up a message next thing you know. Crashed 
org.thoughtcrime.securesms#32884:	   UPDATE: After new update. I sent the same Picture like yesterday (231k). Today it is 1.06M. That is way too much for mobile connections. For Comparison: Threema (good enough quality) --&gt; 81k. + Some things are missing: + Multidevice + run without gappz + remove user from group not working + view and scroll through all media from a conversation + Chrome App should be improved + iOS App is always behind the Android app which is difficult to communicate to ios users. Anyways thanks! I use signal a lot! 
org.thoughtcrime.securesms#32894:	  If end-to-end encryption and privacy is most important to you, this is a great option. If you decide to switch back, though, there's a hole where your Signal messages were. Also, my company firewall blocks Signal, so if I forgot to turn off wifi at work, I wouldn't get any messages. 
org.thoughtcrime.securesms#32898:	   As a messaging app it's okay, but basic. Messages can sometimes be delayed by long periods (20+ minutes). Unable to search conversations. Camera doesn't work when the screen rotates. Galaxy S6. 
org.thoughtcrime.securesms#32900:	   Crash app every day! support does not respond to tickets .  
org.thoughtcrime.securesms#32901:	   Disappearing messages do not reliably disappear in the time you say. Sometimes they stick around days too long. This needs to get fixed. Also, I don't like that I have to use my phone number, which is tied to my identity. It would be nice to have a more anonymous service 
org.thoughtcrime.securesms#32907:	  App is works great, still some bugs, Gboard gif attachment are to large to insert gifs. I like where the app is going from writing to edit photo in the app, I would like to see RCS to this one day. 
org.thoughtcrime.securesms#32916:	   Awesome Sauce, had some bugs with calls not connecting periodically but only temporarily. All in all my favorite app, privacy is paramount in this nosy Government world we live in! 
org.thoughtcrime.securesms#32929:	   Cannot backup messages, transfer messages, or revert (back to Messages) with this app. Once your messages are on Signal, they belong to signal, you cannot move them. Most ridiculous frustrating situation I've ever experienced with an app. No updates at all on a working SMS exportation. Don't believe the hype. Never again. 
org.thoughtcrime.securesms#32932:	   I love Signal's focus on security and privacy, which might be its killer feature. Integration with SMS also makes the switch easier, since not all your contacts need to be there. Unfortunately, there are still bugs that needs to be ironed out and therefore it's not my primary messenger of choice. One annoyance: when dismissing a notification, it will randomly pop up at a later time only showing the phone number of your contact. 
org.thoughtcrime.securesms#32941:	   Trying to get others to use it though is the only downside. I also don't use it for SMS only signal to signal conversions. I found I just don't like this nearly as much as Textra for just straight texting, but as an encryption app it's fantastic if the other person uses it. 
org.thoughtcrime.securesms#32949:	   This AP is not that hard actually it's easy in comparison to the other APS I tried. It can be super secure if you want (have to invite people to join) or just text which is what I was use to. One person said my attachments did not work but no one else complained. I will keep this AP! 
org.thoughtcrime.securesms#32962:	   Had a couple of issue, but this was a friend reinstalling the system... Straightforward and effective 
org.thoughtcrime.securesms#32965:	   Pretty random, but 10-20 minutes into a call the call drops and I get a frozen screen. I can't receive calls and attempting to make them returns me to the same frozen screen. I have to force close the app everytime just to work another 10 minutes. SMS is always severely delayed and sometimes doesn't notify you at all. Critical issues. I have a Google pixel. There should be no excuse. How this has 5 stars is a testimony to fake reviews on the Google store. 
org.thoughtcrime.securesms#32997:	   Voice calls fail more often than not. Messaging works great though. 
org.thoughtcrime.securesms#33006:	   Everything about this app is great except that it doesn't display new msg indicator. Perhaps it's my Nexus 5P or perhaps user error, but it drives me nuts! The other little queries is when I swipe to close the app it takes me back to the home screen, so I have to reopen the panel of open apps again. Otherwise, this app should be rated 5 stars. 
org.thoughtcrime.securesms#33009:	   Sending sensitive texts is always a touchy issue and since far, so good on this,app delivering on its promise! 
org.thoughtcrime.securesms#33037:	   Keep improving the app's reach. So far good. But make sure u don't get sold like WhatsApp.. 
org.thoughtcrime.securesms#33044:	   I couldn't find a messaging app I liked. I have been using this and it's great. Syncs with your Google contacts. The dark theme is great. 
org.thoughtcrime.securesms#33050:	   App stops working from time to time. Needs video conference 
org.thoughtcrime.securesms#33054:	   Don't use anything that any more and if people don't switch, I don't message then, too easy to set up not to 
org.thoughtcrime.securesms#33057:	   Since none of my contacts uses Signal, encryption is irrelevant. As a replacement for my default messaging app (Textra) it performs less well in most respects. It often fails to notify of new messages; it is unreliable in sending messages ( contacts report receiving the same message multiple times); some messages never arrive; sending pics is flaky (file size limit). Could be good but chicken and egg situation regarding userbase numbers. I'll uninstall and revert to Textra for now but keep an eye on it. 
org.thoughtcrime.securesms#33065:	   No noticed problems. 
org.thoughtcrime.securesms#33087:	   The app is good but in Egypt 7 Jan 17 still can't connect via normal way oy via vpn please find a way to fix it 
org.thoughtcrime.securesms#33088:	   Sleek app for sending private messages and SMS. A few kinks needs to be worked out with group texts/MMS. I get error messages before receiving MMS and wished you didn't have to create a group first to send out group messages. 
org.thoughtcrime.securesms#33090:	   It constantly crashes 
org.thoughtcrime.securesms#33115:	   Great app. Fantastic focus on privacy. Tiny bugs sometimes noticeable that don't affect performance or user experience. I prefer it to a well known other messaging app, even though it doesn't have its extended features. 
org.thoughtcrime.securesms#33122:	   I do not receive some sms which is a real problem! 
org.thoughtcrime.securesms#33127:	   Good for sending texts and cat photos, the call feature could use some work. So far so good, though! EDIT: 13 Dec 2016 - unfortunately, when Signal freezes (app won't open), and you follow the advice to uninstall/reinstall, you will lose ALL the messages you've exchanged between when you started using the app and when the breakdown occurs...so backup your messages whenever possible! 
org.thoughtcrime.securesms#33134:	   And was not impressed. But this app, I love! I have not had one problem with it. 
