com.battlelancer.seriesguide#90029:	  Had to reinstall but cant connect to trakt and now i camt access anything pls fix 
com.battlelancer.seriesguide#92379:	   Thanks for your hard work! Still having issues with trakt, so I suggest keeping the data that didn't pass through, in a table and try to send it in the background, from time to time, but let us mark the show as seen, even while offline. 
com.battlelancer.seriesguide#92381:	   Its marking up unaired episodes as watched ....try fixing it 
com.battlelancer.seriesguide#92383:	  Too often says "could not talk to trakt. Try again later". Good app but this issue really makes nerves. Wait some time and uninstall if no fix 
com.battlelancer.seriesguide#92391:	   Liked the design and the fact the there wasn't any shows missing from the search. At least for me. Only thing I dont like is that app thinks that stargate sg-1's episode length is 45min and person of interests is 1h when they both are around 42-43mins(without the adds). When its fixed you'll get 5 stars. 
com.battlelancer.seriesguide#92394:	   The app looks great and is a nice layout. Unfortunately the trakt integration does not function very well.... If you do manage to get signed in it then fails constantly when trying to talk to it 
com.battlelancer.seriesguide#92395:	   I haven't been able to login in for several day... fix the issue and I'll change the stars 
com.battlelancer.seriesguide#92396:	   I cannot continue to progress with shows because it keeps on failing to connect to trakt. Such bullshit execution but great idea...plz fix it 
com.battlelancer.seriesguide#92397:	   Did not find one show I entered in search instead showed a list of shows with nothing to do with the show I entered. Stupid 
com.battlelancer.seriesguide#92398:	   How long until the login issue is fixed?? I can log into trakt's site just fine so I don't think it's their fault. 
com.battlelancer.seriesguide#92405:	  The app is great, but due to time issue it`s useless. Please fix the time issue. 
com.battlelancer.seriesguide#92425:	   Frequently restarts when not opened 
com.battlelancer.seriesguide#92426:	   Trakt has changed the runtime of the episodes of many TV shows reducing most of them. You need to take that into account and fix those times accordingly in this app. 
com.battlelancer.seriesguide#92434:	   I really like this app. The look, the widget but it doesnt always keep track of the Irish and English shows I watch. It just keeps telling me 'continuing' even though I know they've aired. if this bug gets sorted 5 stars all round 
com.battlelancer.seriesguide#92437:	   Yes forever to update shows. Easy return of five stars if fixed. 
com.battlelancer.seriesguide#92447:	   For freaks like me who watch dozens of TV shows this app is vital. I'm currently tracking 50 series and this app makes that so easy to do. Simple layout and the dev support is great. Any time I've had a problem I'd usually get a response within 24 hours. The dates and times each episode airs is accurate. Just one important type of information among many this app provides. Thanks! 
com.battlelancer.seriesguide#92449:	   Irrespective of whether using android keyboard or third party, trying to enter credentials into app to connect to Trakt makes the data entry lines unreadable -- keyboard takes up half the screen -- doesn't work in main app -- but still what's the point -- there are now several apps permitting tracking of shows, so can't see the point of using this if you cannot enter ALL data correctly. ALSO app is VERY big -- 5 times the size of WatchSeries, say, and it should ALSO allow backup to external SD card -- we are using this on an Android device, after all!!! 
com.battlelancer.seriesguide#92451:	   My TV shows library/collection on trakt are not sync with this app. My upcoming section is just blank. My movies collection on trakt sync without any problems. Please give my the ability to sync my TV shows on grant with this app. Also it would be great if some kind of indication was added to let me know if I watched the movie/show. Cathode has it. 
com.battlelancer.seriesguide#92452:	   Running the latest version available for Android 2.3.4 and I'm not able to upload watched shows to trakt. I get an error saying "can't talk to trakt". Too bad you don't support gingerbread anymore. 
com.battlelancer.seriesguide#92454:	  No longer able to add new programs. Please fix. 
com.battlelancer.seriesguide#92466:	  Doesn't sync shows from trakt and won't let me modify my trakt lists, which is the sole reason I downloaded... 
com.battlelancer.seriesguide#92475:	   We love it when developers take their user issues seriously. Cheers 
com.battlelancer.seriesguide#92480:	   Love the design and it's very easy to use. I will say one thing I would change would be having the widget be a past TV episodes with a check box next to it so you can mark as watched but also keep the option for upcoming. With my big phone screen I would have an entire page for widgets. Top would be upcoming and the bottom would be a need to watch or have you watched widget. Amazing app! It needs to have sync revamped. I bought a tablet and downloaded this and signed in to my trakt but it didn't sync. 
com.battlelancer.seriesguide#92502:	   Just updated & can't connect to trakt, as others have said I just get blank screen, please fix, I use this app daily. *update: its just slow to show login for trakt. I left it on that screen went into play store & when I went back into SG it was showing login screen, now connected & back up to 5*'s 
com.battlelancer.seriesguide#92503:	   Having same problem as others. Blank screen when trying to connect. 
com.battlelancer.seriesguide#92504:	   Even after the update for trakt 2, I can't connect. The connect page stays blank. Please fix. 
com.battlelancer.seriesguide#92505:	   New update fixed all the problems I had. Amazing app. 
com.battlelancer.seriesguide#92507:	   I've never seen an app as good as this for tracking tv shows. But it seems to take too much time to update the shows and sometimes, if I mark the show as watched, it goes back to bring marked as unwatched. Also, I wish there was an option to create lists with movies as well. But still, you won't find a better app than this. 
com.battlelancer.seriesguide#92515:	   The app stopped syncing... Tried to logout and then login again in trakt, but it says that I have to check my credentials 
com.battlelancer.seriesguide#92520:	   The last update screwed up syncing with trakt. All I get is errors now when I add movies to my watch list, or that I have watched a movie. Hopefully this is resolved soon or I'll switch to another app. 
com.battlelancer.seriesguide#92522:	  So much time to update shows and "Couldn't not talk to track" Problem 
com.battlelancer.seriesguide#92527:	   X problem is solved and also the program is dramatically improved. 
com.battlelancer.seriesguide#92528:	  Seems to be good but can you tell me how to watch shows thorough tract I tried to click trackt opt. Below the episode nd it connected to trackt site on browser but I couldn't get it how to watch further there is no option for streaming maybe I couldn't find one can u help 
com.battlelancer.seriesguide#92531:	   This is a horrible trakt client. Slow sync, lists don't sync and there are is no recommended section. Also, 5 bucks for notifications and themes? Overpriced. 
com.battlelancer.seriesguide#92536:	   Can't watch videos that dush please fix and i will give 5 stars 
com.battlelancer.seriesguide#92545:	   I like but it's very slow. Doesn't sync any more 
com.battlelancer.seriesguide#92560:	   I like being able to keep track of what I'm watching the stats are neat as well. Though the movie section needs some work. It seems like half the time the app doesn't recognize that I have set the movie as watched or even rated the movie. Though I don't know if this is an issue with the app or syncing with tract.tv. 
com.battlelancer.seriesguide#92561:	   Great app but i would like the possibility to see all unwatched episodes in the recent tab, instead of just the latest season. Like in earlier versions Edit: bumped to 5 stars. Issue was fixed. 
com.battlelancer.seriesguide#92563:	   Works great for keeping up to date on your shows. Cast and crew info as well as ratings. Just don't forget to turn on periodic updates otherwise it doesn't do anything. 
com.battlelancer.seriesguide#92565:	   How do I get the programs to play? This is great you have all the programs but I can't watch them because it isn't working 
com.battlelancer.seriesguide#92570:	   Always happy to see updates for this. One thing that NEEDS to be introduced though is the ability to exclude a show from the manual time offset. I need an offset of -3 for displayed airtimes of North American shows to be correct, but this causes times for shows airing on foreign networks, such as BBC1, to be off -- it seems to adjust those for my timezone automatically for some reason. Definitely needs a fix, or it will only ever be "almost perfect". 
com.battlelancer.seriesguide#92581:	   This app is close to flawless. It's utterly indispensable to me because I honestly religiously watch 25 separate shows. Series Guide keeps track of them all: Name of the episode, Season & Episode number, Time & Date. The widget let's me know at a glance what's on that night and when. My most used app on my phone. I even keep my family member's shows tracked for them! Highly recommended. One issue I've found: American Pickers does not show up in the list widget. 
com.battlelancer.seriesguide#92593:	   Starting to slack on almost every show I'm watching, everything says tba and I can't find an update for the app. No sense in having this app if it doesn't work. Downloading Tv-Series for now, we shall see. 
com.battlelancer.seriesguide#92598:	   A really well designed, easy to navigate app. Only problem is that it's a bit slow. Some information just take much too long to load. Also a movie chart would do wonders for such a beautiful app. 
com.battlelancer.seriesguide#92605:	   Decided to try another TV tracking app because the one I was using was crashing when I launched it. This one did the same thing. It won't even start. I notice both say they switched to trakt.tv. Is that why? Because it seems a horrible upgrade if the app won't work. 
com.battlelancer.seriesguide#92607:	   Update: Have noticed app running in background, loading the CPU. Either a bug or doing something it shouldn't. Please fix or remove faulty code. Minus 1 star for now. Extremely handy app and well done. 
com.battlelancer.seriesguide#92610:	  Very good but recently I've had a little problem with it 
com.battlelancer.seriesguide#92618:	   As a media enthusiast and binge watcher of shows on Netflix, I find it hard to keep track of everything I've watched. Thanks to this handy app though, I no longer have that problem. It also has fantastic descriptions and I enjoy the ability to add shows to your list and check them off as you watch them. This is actually one of the only apps that I use daily. Thank you, developers, fantastic job and impressive work keeping updates at frequent intervals. 
com.battlelancer.seriesguide#92622:	   Hi, it used to work with my samsung galaxy s4 & samsung galaxy note 8, but after i did a factory reset on both phones and then re-install the app once again, it won't add a show (too bad i didn't save the back-up file). i love this app so much and i'm considering on upgrading to pro, but if this thing won't get resolved i won't have any choice but to uninstall. Please reply/fix this issue. Thank you & more power! 
com.battlelancer.seriesguide#92624:	   Straight to the point, fast, material design, quality information and just as you thought it couldn't get any better, it does! It's ad-free! Thanks. 
com.battlelancer.seriesguide#92626:	  Notifications arrive even while using the priority mode on Lollipop. Please fix this. Otherwise a great app. 
com.battlelancer.seriesguide#92631:	   The app is perfect to keep track... Was my go to app till recently when the shows are not getting updated. Please fix... 
com.battlelancer.seriesguide#92637:	   It was a great app to start with but recently shows are not updating. Pls fix. 
com.battlelancer.seriesguide#92660:	   Really good app for tracking episodes. One bug i recently observed is that if you scroll in the episodes list, the right side scrollbar does not move. Apparently these two actions are not linked 
com.battlelancer.seriesguide#92669:	   The shows are not at all being updated. There are no upcoming shows and there are some which are running right now. Please fix it. 
com.battlelancer.seriesguide#92686:	  Why TV show seasons are not being updated?example Walking dead 3rd episode is out and series guide is still displaying continuing. Seriously? Please fix it 
com.battlelancer.seriesguide#92691:	   After last update widget has disappeared and i can't get it back 
com.battlelancer.seriesguide#92698:	  Used to work well now it doesn't load most of the series.... 
com.battlelancer.seriesguide#92703:	  I really liked it, but from before the last update,any ofy series are not getting updated and don't have photos :-( (arrow, vampire diaries, defiance, once upon a time and many more) 
com.battlelancer.seriesguide#92704:	   I like this app. But there is a big lack... no sync between devices. I use tab 8.4 and note 3. Now days it is kinda obligatory to have some kind syncing system. 
com.battlelancer.seriesguide#92711:	   Using it for 2 years, never had even a trivial problem. Highly recommended. 
com.battlelancer.seriesguide#92720:	  Was working fine till the latest update. Many shows aren't getting updated with new season info 
com.battlelancer.seriesguide#92724:	   Since the last update some of the shows on my list are not automatically updated. MTV's Faking It, The Mysteries of Laura, and Scorpion. Can you please fix this? Thanks. 
com.battlelancer.seriesguide#92727:	   The big bang theory, agents of shield is not getting updated. Please check on it. The rest of the app is good. 
com.battlelancer.seriesguide#92729:	  Some thumbnails cannot display, plz fix it. 
com.battlelancer.seriesguide#92730:	   Love this app but the widget is not working, it just says upcoming shows 
com.battlelancer.seriesguide#92737:	   Simple, beautiful and efficient. Never let me down, specially when upgrading, always little by little so nothing crashes. Really recommend it. 
com.battlelancer.seriesguide#92738:	   Is there a way to be able to only show local channels? I would love to use this, but showing Fox, CBS etc isn't useful for the UK. 
com.battlelancer.seriesguide#92742:	   A great way to keep track of all the episodes and collections. Only problem is some new episodes are not shown in upcoming. Otherwise good app 
com.battlelancer.seriesguide#92753:	   This is what I have been looking for. Easy check in for Trakt, nice UI. This is what Cliffhanger tried to be but failed miserably. Loving this app. 
com.battlelancer.seriesguide#92756:	   every time i back my data up and then uninstall then reinstall, the so-called back up doesn't work! 
com.battlelancer.seriesguide#92764:	   I get an error a lot that says cannot connect with trakt or it says I've submitted a comment or rating and it doesn't show up in the app. Please fix this!!! It was fine until the last update. 
com.battlelancer.seriesguide#92770:	   FIX THE BUGS ALREADY! cannot add movies! 
com.battlelancer.seriesguide#92774:	   Only problem I'm having notifications don't always work other than that a solid app 
com.battlelancer.seriesguide#92785:	   Some show do not load thumbnails and screen caps. Please fix 
com.battlelancer.seriesguide#92803:	  Worked well at first but now it isn't keeping up with animes..... Please fix this issue 
com.battlelancer.seriesguide#92822:	   Good app but I'm not in the habit of making an account on every site and app out there. I don't use Trakt or getglue or any of that, but it's a pain that those paying users are the only ones who can back up there shows to the cloud. Every time I flash an updated rom I have to add all my shows from memory. Swear I'm still missing some... 
com.battlelancer.seriesguide#92825:	   Please fix. 
com.battlelancer.seriesguide#92826:	   Won't work at all, says there are no upcoming shows etc. Samsung Note 2 
com.battlelancer.seriesguide#92859:	   The update fixed everything! Fantastic job; everything is running smoothly and I'm having no loading problems. 
com.battlelancer.seriesguide#92895:	   What happened to the widgets? It no longer shows upcoming episodes. Tried to uninstall it, clear cache etc and nothing.. I hate the fact I have to open the app and look at the list of the shows to find out when the next episodes are due. Please fix it ASAP. 
com.battlelancer.seriesguide#92899:	   I love the look of the new update. Thud Isn't favourite app for keeping tracking off things. It looks great abs works smoothly. The previous issues have all been resolved. My only problem, and it's a very, very small one, is that the 'watched next episode' button is too high up 
com.battlelancer.seriesguide#92911:	  Fixed crashes. Thanks. 
com.battlelancer.seriesguide#92919:	   My only complaint is that it would be really great if it put shows that start with "the" in there proper place instead of in the t section. Like, The Amazing World of Gumball should be in a for amazing, not t for the. Please fix this 
com.battlelancer.seriesguide#92923:	   This app has always had problems but this update broke everything. Settings were removed and it's stuck in update mode, after 2 hours it is still trying to update making the app unbearably slow. 
com.battlelancer.seriesguide#92924:	   Love this app and can't find another that tracks my show progress as well. BUT it would be nice if it were faster to update, faster to navigate. Sometimes after marking an episode as watched it'll take a good 5 seconds before the screen changes to show the next episode :/ but over all excellent app! 
com.battlelancer.seriesguide#92950:	   Looks good but hasn't synced with trakt scence I migrated from X. 
com.battlelancer.seriesguide#92990:	   Last updates fixed all problems and they keep improving the app. 
com.battlelancer.seriesguide#93001:	   This app was great but since the last update I get constant 'unfortunately, series guide has stopped' messages. Even when I'm not actually using the app. I hope this gets fixed soon and I'll change my rating to 5 stars again. (using GS4). 
com.battlelancer.seriesguide#93003:	   After updating, the app is always force closing? Please fix 
com.battlelancer.seriesguide#93013:	   You fixed even the minor UI bugs! 
com.battlelancer.seriesguide#93015:	   Pls fix the statistics bug 
com.battlelancer.seriesguide#93030:	   Please fix this feature. 
com.battlelancer.seriesguide#93054:	   Beautiful design, excellent performance, I've got tons of shows including ones I'm interested in and this app is perfect for keeping track of all of them. Very active dev and issues resolved quickly. 
com.battlelancer.seriesguide#93059:	   Fast responses, fast updates, great app, great performances, ease of use. It has everything. Including quick issue resolution. 
com.battlelancer.seriesguide#93065:	   A really nice app for tracking your series activity .i have been using it for a long time and did not encounter any problems with it. I just love it. Thanks devs 
com.battlelancer.seriesguide#93067:	   But I can't use it until will not be added a 'to do' or a 'not watched yet' tab, where are grouped all the unwatched episodes. I will buy also the premium then, I promise. :) 
com.battlelancer.seriesguide#93075:	   I've tried several series apps and could not find one that had a decent search feature. This app has that plus many more useful features. This will be the last one I'll try. The only one I'll need. 
com.battlelancer.seriesguide#93077:	   What's with the last update saying "add up to 2 extensions for free"? How does it work, I can't find it anywhere. 
com.battlelancer.seriesguide#93089:	   I really like this app. The only problem I have is that it only reconize that I watched an episode when I'm online. Please fix it. 
com.battlelancer.seriesguide#93113:	   This was great! My favourite app untill it almost completely stopped doing its job. It tells me it doesn't know when the next episode will be out when the shows are still being released weekly. Iv had to rely on another app to keep me up to date. Will uninstall soon if the issue isn't fixed. 
com.battlelancer.seriesguide#93131:	   Just a few times I've had a working wifi connection but show search and trending services return no responses. Just a minor issue but is of seemingly random occurrence. 
com.battlelancer.seriesguide#93144:	   Episode tracking... Fixed... For A TV/Cable/Internet Series Guide... 
com.battlelancer.seriesguide#93168:	   Can't sync between devices 
com.battlelancer.seriesguide#93171:	   The app is everything I hoped it would be and more when I downloaded it, but after the last update the series won't load and the app crashes often. 
com.battlelancer.seriesguide#93188:	   Is this a joke? I can't add a single show.. Fix it! ============== Update: Fixed, now i have to use this some more to decide whether it's the app for me or not ============== Update 2: Turned out i love this app! I can easily tracks all my shows with this app. Really useful! 
com.battlelancer.seriesguide#93192:	   Your widget does not work on Sony xperia c. Fix this issue and I will give 5 stars 
com.battlelancer.seriesguide#93195:	   App is good. Initially, had problem... hangs when removing shows and the shows can't be from list. Somehow, it had been rectified. Everything is working well now. 
com.battlelancer.seriesguide#93197:	   I can't add shows ; ( can someone help me by telling what might have been the problem? Thanks 
com.battlelancer.seriesguide#93201:	   MAR 2014: Updates still keep coming too often - really annoying! Get it fixed! 
com.battlelancer.seriesguide#93203:	    to keep track of the shows I watch, the only problem I found is that I have to update manually from tracktv on my tablet after I check episodes as watched on my phone, if that was automatic it'd be much better. 
com.battlelancer.seriesguide#93205:	   Mostly functional. Occasionally has errors. Doesn't seem to like the show "Alphas", keeps checking in as "Section 8" instead on GetGlue. Could be prettier. 
com.battlelancer.seriesguide#93215:	   Removed the way to sync up manually when the app wasn't syncing properly. Some episodes don't sync and that was the only way to resolve it. Downgraded to the old version until it is fixed. 
com.battlelancer.seriesguide#93217:	   Got the release dates of episodes which I couldn't find through Google search.. 
com.battlelancer.seriesguide#93220:	   Great app, user friendly and the UI is great too. Haven't encountered any bugs and all the shows pull the latest information 
com.battlelancer.seriesguide#93242:	   Worked great for a long time. Then in 2014 shows stopped updating. All shows now say continuing.wtf. its as if they just stopped maintaining the app. Some shows still are up to date. But most have missing or no info. I hope they fix issue. 5 stars if they fix issues. 
com.battlelancer.seriesguide#93246:	   The app frequently crashes 
com.battlelancer.seriesguide#93252:	   I can count on this app to keep track of which episode of a show I am on and when the next one airs. The UI is beautiful and I have never noticed a bug. Kudos to the developers. 
com.battlelancer.seriesguide#93256:	   Beside the really useful features and nice design, this application is supported by an impressive G+ community, ready to help in case of any issues with the app. Generally, I had no problems whatsoever with the application! 
com.battlelancer.seriesguide#93260:	   Really nice app.. Keeps tracks of series and episodes but recently I hav already watched the 14 episode of big bang theory but app still shows only 13 episode and says continuing... Can u fix that devs??? 
com.battlelancer.seriesguide#93281:	   Freakin useful Now you needn't forget ur fav series 
com.battlelancer.seriesguide#93293:	   Does what it says. 4 starts as cannot find all the TV shows I'm following. 
com.battlelancer.seriesguide#93299:	   The interface is not completely stellar but it does the job well. And the latest update took care of my biggest issue. 
com.battlelancer.seriesguide#93306:	   Great app. Please give option to turn off new tabs at top, I don't use any of them and are just taking up space. 
com.battlelancer.seriesguide#93323:	   I had some issues updating from trakt, uwe was very responsive, and it works great for me now. If you watch way too much TV like I do, this app is perfect for keeping track of what you've seen and what you haven't. 
com.battlelancer.seriesguide#93332:	   I'm constantly watching several shows at once, and often forget which episodes I've already seen... This keeps track of everything for me, saving me from that "I'm sure I've seen this episode already" problem! Thanks dev! 
com.battlelancer.seriesguide#93349:	   Pity I can't use all the functionality as I am in South Africa so cannot get upcoming info for our programming. 
com.battlelancer.seriesguide#93357:	   I use this app almost everyday since I am a TV show geek. But I had noticed that "house of cards" is not updating the dates it originally aired on. If you could fix this pls!! 
com.battlelancer.seriesguide#93368:	   Haven't had any problems with it at all. It's a neat idea, especially with the widget, and the summaries and such seem accurate. 
com.battlelancer.seriesguide#93400:	    as to when the next air date is..Please fix!! 
com.battlelancer.seriesguide#93403:	   Regarding the widget; on my Tablet Z it causes the launcher to stutter every time I swipe past a homescreen with a SeriesGuide widget on it. Perhaps related to widget refresh intervals? I'd love to see a fix for it :) Helps me keep track of recent and upcoming shows in a beautiful way. Keep it up! 
com.battlelancer.seriesguide#93428:	   I still can't use the getglue integration... Can someone help? I love this app though... Wish I could use both at the same time without having to open separate apps. 
com.battlelancer.seriesguide#93432:	   ...if I make the widget full screen on ICS. Sense goes into a crash loop after that. I have to hope I have the market open so I can uninstall seriesguide. 
com.battlelancer.seriesguide#93442:	   Currently have two widgets, upcoming and recent episodes. Neither update my activity until a reboot. Can this be updated to refresh data from the app more frequently? No use having an out of date widget. 
com.battlelancer.seriesguide#93453:	   It stopped working It shows how I met your mother as continuing even though a new episode was released on Monday Please fix Running kitkat 
com.battlelancer.seriesguide#93467:	   This is a great app but lately all my shows does not upload to trakt when i add new shows, i have tried updating, uploading etc, nothing works 
com.battlelancer.seriesguide#93470:	   Just wanted to say I love this app, one of the most useful ones I have, I watch a lot of different shows and this helps keep track of them so well, never have any problems with it, definitely a A+ app, keep up the great work! 
com.battlelancer.seriesguide#93494:	   Minimalist interface with great resolution, all the posters for shows and movies just pop. Pretty good suggestions based on your viewing habits, but they're extremely limited and effectively static since you cannot remove shows you aren't interested in from suggestions/etc. The only other negative is the lack of the trending movie feed that shows get. Once those two things are fixed it'll be golden. 
com.battlelancer.seriesguide#93507:	   This isn't a stand-alone app. Requires at least one other subscription service. There is no user guide. Sucks for people new to smartphones / tablet crap. 
com.battlelancer.seriesguide#93532:	   New episodes are not avaliable for some tv shows like bones, arrow, the vampire diaries and how i met your mother. Please fix it. 
com.battlelancer.seriesguide#93548:	   I love this app, but I've missed a lot of shows recently, because it does not update. Please fix. 
com.battlelancer.seriesguide#93557:	   Fixed my issue I had with app and now it's great! 
com.battlelancer.seriesguide#93572:	   Thanks for fixing. 5* as promised 
com.battlelancer.seriesguide#93581:	   This app has great potential but poor execution. And I fear that the developer has left us high and dry. There is no excuse for giving a half-year of series information. If you are going to include a series, using TBA for a half of the year is simply not excusable. For example AMC's "Hell on Wheels" aired its Season 3 finale tonight but the app only has half of the year updated. And there are plenty of other examples of the same or worse. Sad. 
com.battlelancer.seriesguide#93592:	   I used to love this app... it was like a god send cause I follow a bunch of shows... I actually used to keep track of all this on a text file... :P Though for some reason many of the shows aren't accurate... Fix'em now guys! 
com.battlelancer.seriesguide#93597:	   Love this app. It's perfect in every way but one. The backup process is extremely painful and I couldn't get it to work. If you could possibly add some sort of syncing tool through a google account then this would be perfect. Having said that, this is a pretty minor quibble for anyone that doesn't regularly change devices. 
com.battlelancer.seriesguide#93605:	   It was working pretty good (this app had ended early a show season for something I was watching this summer) now I can't get the up coming page to work. There is no way to report a problem without signing up for the blog page. Sorry not doing it. I'm not real happy with this right now. FIX IT! 
com.battlelancer.seriesguide#93606:	   Actually . Very good but there is a problem when I want add a program into watch list . Appears to me a message "couldn't be add " .... why ? 
com.battlelancer.seriesguide#93607:	   I used that app on my previous device now that I wanted to the new it keeps popping "could not add ...." I am not able to add anything do you know why or what I have to do to fix it 
com.battlelancer.seriesguide#93608:	   Kept getting error that it couldn't add shows. 
com.battlelancer.seriesguide#93609:	   Keep getting error message "could not add ...." 
com.battlelancer.seriesguide#93623:	   Was working perfectly but now it keeps saying no Internet connection but I'm connected to the Internet :( please fix 
com.battlelancer.seriesguide#93632:	   I absolutely love this app! Only 1 problem that sometimes the app header, with back button and options, disappears. If I tap over it, it appears again. Please fix this, it can be annoying sometimes. Also marking "Watched all" can bug resulting in 0x0 not changing at all and showing no episodes watched. 4 stars for now. 
com.battlelancer.seriesguide#93635:	   I watch Twisted and it only says there are only 10 episodes in the first season but there is more and I can't read the info for next weeks info.... PLEASE FIX :( 
com.battlelancer.seriesguide#93638:	   It couldn't find law and order. Oh well. Uninstalling. 
com.battlelancer.seriesguide#93645:	   497 error on Nexus 7. Uninstalled old version and tried again with same result. Is a fix coming? 
com.battlelancer.seriesguide#93646:	   Maybe this wouldn't be so bad if I only knew what error #497 stood for. Maybe. 
com.battlelancer.seriesguide#93660:	   I upgraded to the paid version of the app to support the developer. Unfortunately I followed the developer's instructions on updating the app from within the app verses through the Play Store which means uninstalling the app to repair an issue means having to repurchase the app. I have contacted the developer twice on Google + as this is the written preferred mode of contact for issues. To date I've received no response. I would not recommend this product or any or project from this developer. 
com.battlelancer.seriesguide#93673:	   I used to use this app every day to follow my tv shows but it doesn't work anymore. It doesn't update all the series. 
com.battlelancer.seriesguide#93675:	   Only problem is it gives episode as Season # episode# Most providers list episode as a running total. Like episode 241. Maybe give both nunbera as options 
com.battlelancer.seriesguide#93681:	   Didn't work 
com.battlelancer.seriesguide#93688:	   I was quite happy with the app for several weeks until it started crashing on me. I tried about everything including reinstalling but could not sort the problem out.  in the end. 
com.battlelancer.seriesguide#93713:	   Why do you need access to my accounts and to be able to delete them or make new accounts? Fail!!! 
com.battlelancer.seriesguide#93716:	   I don't know other apps that do what they say they should do without any bugs, drawbacks or money included except this one :) 
com.battlelancer.seriesguide#93729:	   Could not connect to trakt servers. Please fix. 
com.battlelancer.seriesguide#93751:	   Since update, check in to getglue fails. Tried uninstalling an reinstalling but still failing. Otherwise... Great app 
com.battlelancer.seriesguide#93792:	   I like this app and the accompanying app. It is nice to just glance down to see what is on or when the next episode is playing. No crashing problems, no freezing. Works well and works fast. 
com.battlelancer.seriesguide#93795:	   The app really does everything I need it to. For a TV junkie such as myself everything is included and the dev actually reacts to suggestions and problems. 
com.battlelancer.seriesguide#93800:	   Truly is a useful app for people who enjoy lots or maybe just a few selected television shows. At first I was hesitant in using this app thinking it would be only useful if your location is somewhere in the States , but found that my prayers to the Cable Gods in Programming were already a step ahead of me. I've had maybe 1-2 shows off on the scheduling but that could be due to a number of reasons...as for availability of programs to add to my Tele guide they're all here and the ones I couldn't find I just searched and walla...Game of Throne, Walking Dead your popular ones as well as your retro shows Different Strokes, Knight Rider & even M.A.S.H. are all here.....this is by far the best guide out there to date....keep up the great work. 
com.battlelancer.seriesguide#93817:	   , takes care of all my TV show scheduling problems. Would definitely recommendd it to anybody. 
com.battlelancer.seriesguide#93821:	   I have many shows they are not updated on this app and on the TV they come out It's been over 1 month and the app hasn't updated any new series coming out and in reality it is out Fix it or refund meh 
com.battlelancer.seriesguide#93837:	   Seriously loved your app! Helped TV fanatics like me to keep up with all the shows that I watch.. But the only caveat is that I can't seems to type above a certain number of words when I tried to check in to getglue from your app.. Fix this and 5 stars is near.. Thanks.. 
com.battlelancer.seriesguide#93839:	   Love the layout and has fast searches and everything but I can't get over the time zone thing. Should have an option to switch time zones. I uninstalled due to this, would be amazing otherwise.so sad 
com.battlelancer.seriesguide#93859:	   No doubt that it is a very food app to have. It is very error free.. But it needs habit ui overhaul like cliffhanger .. Which can be a great competitor. Now it also supports dash clock 
com.battlelancer.seriesguide#93874:	   A quick reinstall fixed the update issue. Rating upgraded. Great UI. Has all the features you need. 
com.battlelancer.seriesguide#93878:	   I posted about this before and nothing has changed. Getglue check ins DO NOT work! Disappointed I actually have up money to this dev. Currently looking for an app like this in which check ins work as they should. Check in to get glue not working. 
com.battlelancer.seriesguide#93880:	   Its really good but one hitch I have is that the widget seems to cause lag when I swipe to the home screen it is on and I do not have the problem with any other widgets would be nice to see a future update correct this (Samsung Galaxy SIII) 
com.battlelancer.seriesguide#93894:	   Hey, what would be cool is a way to input a url so I could click on it and go to the site that hosts the shows I watch. I can't access Google Play or Amazon for TV here in Canada. but being able to put in a link to the site (e.g. ctv.ca or tsn.ca) would be very helpful. Thanks for the great app 
com.battlelancer.seriesguide#93935:	   This is among the top 5 most useful apps I have ever used. Not only that it works great, looks great, it's easy to use. I like the dark there it has, it's tablet optimized, it had a huge selection of anime. I watch some pretty rare stuff and it has it all. I really can't find any complaints. If they make it better I'd be very surprised. 
com.battlelancer.seriesguide#93942:	   Not downloading n my phone s2 
com.battlelancer.seriesguide#93945:	   For years I've been using text documents (notepad or google docs) to manage what shows I had watched, am currently watching, or plan on watching. This app, at it's core, gives me a much simpler way to keep track of my shows. There are a ton of additional features that I have absolutely no use for, but they don't get in the way of how I use this app. Only real issue is that sometimes the information is inaccurate. It may list an upcoming episode when there is not one, or it'll list an incorrect date, or other various bits of misinformation. This is obviously a fault with whoever is in charge of the server that the data is pulled from, but I'm not sure who is in charge of that server. 
com.battlelancer.seriesguide#93946:	   Show times and episodes were very wrong. Weird time settings, set to only show New episodes, (or I think I did, since the English is a little odd), it shows Castle is on Monday which is correct, but it says the episode is from 3 years ago, I checked tv guide and this app is wrong, there is a new episode, so not only does it show the wrong episode which the app says is a repeat, (it shouldn't even show up), I say complete failure. 
com.battlelancer.seriesguide#93962:	   Not useful for all countries but doesn't mention that in description 
com.battlelancer.seriesguide#93967:	   It could never add anything to my list. The search couldn't find anything.  from RAZR Maxx. 
com.battlelancer.seriesguide#93978:	   I don't use traditional tv, only web based services, so tv listings are of marginal use. If I had found an option to show me only new episodes, I would have kept it. 
com.battlelancer.seriesguide#94014:	   This app is really neat. I love the Upcoming window so I can easily see when our shows are coming back, but the search feature doesn't work so I can add my shows that aren't trending. Fix that and it has potential for 5 stars 
com.battlelancer.seriesguide#94017:	   Love the idea as i always forget where I am in a series. The search function doesn't work and can only choose from Trending. Missing Game of Thrones? 
