org.coolreader#120001:	  Not good can't open epub file 
org.coolreader#120773:	    removed the settings bar at the top and made the font giant size. How do I fix this? 
org.coolreader#120777:	  Bricked my phone. Tried another reader that worked well but didn't liked it. Installed this, turned a few pages and then the phone froze. Nothing respond, can't reboot or turn off. That page has been displayed for 15 hours now and I can't use the phone 
org.coolreader#120782:	   Can't upload PDF files.. 
org.coolreader#120783:	  Last update stop working on nook. Why? 
org.coolreader#120791:	   Haven't use it yet but I have it also functions well on Non-android  
org.coolreader#120794:	  Even though this was a great app to use for my first book, it doesn't open any other PDFs that I'd like to view. This is frustrating because the book was in PDF format which worked great. Please fix your application 
org.coolreader#120797:	   Kept crashing whenever I tried to open an epub that I have opened in other readers 
org.coolreader#120803:	  Crashes literally all time. 
org.coolreader#120809:	  Like it much but i have a problem.. just this night i wanted to add a new book in my library but when i click the book i chose it doesnt open.. ERROR 404 shows up instead. What does it mean? Please help.. 
org.coolreader#120814:	  Crash 
org.coolreader#120818:	   I love this reader but now I am having issues with the night mode text and I can't see it. Instead of the yellow I am used to it is now grey and hard to read 
org.coolreader#120820:	  Hands down the best reader out there. Logical interface and user friendly navigation through the features make it a spear longer than other more glossy reading apps. I use it pretty much everyday for almost 2 years now without any significant number of crashes. 
org.coolreader#120821:	   Keeps dumping me back to the launcher & losing reading progress on an ASUS ZenPad 10, Android 5.0.2. App has been great for me in the past, but is too unreliable right now. Fingers crossed that it is just a temporary bug, or x86 issue that can be resolved. 
org.coolreader#120826:	   It used to be my favorite epub reader app. Back when I was still using Android Jelly Bean, it worked perfectly. But it doesn't seem to work in my new phone (with Android Lollipop). When I try to reduce the screen backlight brightness to the lowest level, the text becomes blurr. It was perfectly fine in my Android Jelly Bean though. So I wonder why it won't work in Lollipop? Can I just send this problem through email so i can show you the screenshoot? Please respond me  
org.coolreader#120847:	   I've been using this reader for a long time and it's perfect for me. But since the last update I can't delete files directly from the app. Fix this, please? 
org.coolreader#120848:	  Crashes ALL THE DAMN TIME just reading TXTs. I mean what the... Not to mention having to disable text autoformat because it displays like 3 sentences per page, of which most are stylized as titles.. 
org.coolreader#120854:	   It gives 'error while loading document ' when loading PDB files ... I don't think it is capable of opening Palm OS PDB files as claimed in the promo .. 
org.coolreader#120861:	   Love it. Well thought out for reading & customizing. Used a lot on Moto RAZR phones. Love one touch night/day mode & how it remembers the brightness. Can adjust everything to improve the readability to suit own needs - obviously designed by readers for readers. Only criticism; may be difficult for some to understand how to customize. I had major problem one time; end of one ebook caused program to crash repeatedly. Last attempt it froze phone -battery not removable so phone unusable till it drained. 
org.coolreader#120865:	   It doesn't want to remember my settings so I have to reenter it every time I start the app. Please help! Still doing it! Please fix it! 
org.coolreader#120867:	   Constantly crashes since last update 
org.coolreader#120881:	   On my Nexus 7 I'm using 3.1.2-102 and having problems. When I check the Play store on my tablet, it says that's the latest. In the Play store on my phone, it says 116 is the latest. Fdroid says the newest is 3.1.2-72. What should I be using? 
org.coolreader#120886:	   Once you fix the screen rotation problem, it will be 5 stars. I've adjusted all the orientation settings and none of them lock it... 
org.coolreader#120887:	   Works OK on my Android, does what it says its meant to. Crashes infrequently when used in horizontal position, losing the last page opened. No adds in my version a big plus ++++! For free its great. I Did not update to newer version no need to add more permissions than it already had. Have it on a computer as well but I prefer to read on CALIBRE because its far more versatile. It takes longer to locate books on Coolreader. 
org.coolreader#120888:	   I love this BUT am constantly having problems with the background going really dark & making it really hard to read. Not sure if anyone else has had this problem but nothing i have tried seems to work. 
org.coolreader#120890:	   Couldn't open or read the pdf book and gets lag, slow to scroll page in big size books that I tried 17mb prc book, so please improve it, otherwise it's great, thanks. 
org.coolreader#120892:	  Extremely buggy in the recent versions. Too much crashes. 
org.coolreader#120899:	   I downloaded this to open chm files as described in app info but there's a serious problem with the formatting that missed the file seriously it's very bad however I haven't tried it for anything else yet it doesn't even deserve the one star. 
org.coolreader#120908:	  Would have given five stars but has stopped working since last update .. Please fix!! 
org.coolreader#120910:	   It may crash few times a week, but it is best reader I've ever seen. 
org.coolreader#120912:	  Crashes quite often 
org.coolreader#120915:	   Ever since android updated coolreader keeps crashing when turning a page. Used to be perfect. Problem is when you restart coolreader it does not remember what page you were up to sand may crash again as you flick through trying to the last page read 
org.coolreader#120916:	  Cool Reader stopped working on Nook Simple touch after the last update. Please fix this as soon as possible. Or, if not possible, please let me know how I can revert to a previous version. For me, at this moment this great app you made became 100% useless. Thank you. P.S. - when working properly, this app deserves 5*, which will get, as soon as I can use it again. 
org.coolreader#120927:	   Used this app for about a year. Start to crash in previous update. After last update still crashes. Less then before but too often. Forced to move to another app. 
org.coolreader#120935:	   Mail me after fixing..... 
org.coolreader#120941:	   I could not use it to read my pdf , doc, and any other time of books , I have the new tab s2 Samsung 
org.coolreader#120943:	  Tts doesn't work at all 
org.coolreader#120944:	  After the update works as best free app in the store. No minuses, only good reading without adds. Thanks! 
org.coolreader#120952:	   Still think this is great but there's a problematic bug that appears regularly, after finishing a book the option to browse the file system isn't there and as the search option doesn't seem to search files in the device it can be impossible to open another book 
org.coolreader#120959:	  Nice app. But It keeps crashing fix it plz 
org.coolreader#120962:	   Opens wide range of books with different extensions but Keeps on crashing ALL the time :( 
org.coolreader#120965:	   I can't change the font from script without it crashing and putting script back on. What is this? Okay so I fixed the font but nothing ever stays were I put it. Font size keeps shrinking and brightness keeps going back to 2%, and now it crashes every 6 or 7 pages. And it can't read aloud. I've never had any of these problems before on my other phone. 
org.coolreader#120967:	   Everytime I open this it keep on crashing whenever it is loading. Please fix so I can rate this 5. I thought this is the best app, it prove me wrong. So, please fix mine. This is the only app installed in my tab that keeps on crashing when loading. 
org.coolreader#120968:	   Why I get this text when trying to download books from online catalog ?? Otherwise it's best reader on google play store, but for now it's of no use 
org.coolreader#120972:	  Frequently Crashes 
org.coolreader#120975:	   Doesn't work from a long time. I can't open not even its own manual. The best alternative remain AlReader by Alan.Neverland. 
org.coolreader#120976:	  Crashes sometimes on nexus 7, but still very good. 
org.coolreader#120977:	   Randomly crashes and sends me 5 to 10 pages back everytime. 
org.coolreader#120978:	  For last two years keeps crashing unpredictably. And my Samsung Galaxy Nexus is no longer supported? 
org.coolreader#120981:	   A nice, reader friendly interface. The only problem I faced was that I couldnt read pdf format books ( Technically, it may not be the best format). Integrating pdf as well would surely make it my favourite book reader app. 
org.coolreader#120985:	   I absolutely LOVE this app. The best I've tried out of several. The only complaint I would have, and the only reason I didn't give 5 stars, is that when I edit the book tags (title, author, series, book #), it doesn't save after the app closes. :( 
org.coolreader#120990:	   The last update helped, but it still crashes way too often. 
org.coolreader#120997:	  Hyperlinks on images don't work! Why?? :'( 
org.coolreader#120999:	  It is a great reader but... The reader now starts up with the Cool Reader manual instead of where you left off in your book when you powered your device down. This is much more frustrating than the next one. The brightness for both text and book list goes dim. Going to Android tools and tapping the brightness slider corrects the problem but you should not have to do that. Aside from these warts, it's the best reader I've found for Android. Samsung GT 7.7 (Android 3.2) & Asus Transformer (Android 4.03). Update 8/6/2015 I believe Cool Reader to be the best, most configurable, ebook reader available and I've evaluated many (but perhaps not all). Cool Reader has crash problems when paging in Android 5 on my Samsung tablet. However, there is now a Cool Reader GL which uses Open GL and works flawlessly so far. Great work Vadim! Thank you. 
org.coolreader#121000:	   But nothing but problems since last updates. 
org.coolreader#121001:	  It is still my absolutely favourite reader, though for some reason it fails to save my font size settings. Every time I exit the app and open it again the font jumps to the tiny 33 :( 
org.coolreader#121003:	   I loved how the complete setting for the app so we can change it whatever we want. But it's so annoying when the app keep crashing and force closed in the middle of my reading. Please fix it immediately 
org.coolreader#121005:	  After latest update encoding problem with Lollipop Samsung Note2 still persist. No suitable fonts for Chinese characters. 
org.coolreader#121009:	   I loved this app but it constantly crashes, I can't read 
org.coolreader#121010:	   Please fix 
org.coolreader#121022:	   This is a very good reader. But contrary to others, mine often crashes after the last update. Please fix. 
org.coolreader#121023:	  Nice, but last version doesn't save font size parameter, need to set it every time on open 
org.coolreader#121032:	  Its an excellent app. But the last update breaks on my phone. Please fix it! 
org.coolreader#121033:	   I have a problem with your app. Running the last version of the app from google play on a SM-N9005 Samsung Galaxy Note 3 on stock android 5.0. It won't let me stick on using full screen option and every time I exit the app, reverts back to not full screen (the box in the options is unchecked even after I ticked it before exiting). Also it reverts the font size to 28 and to stock dark theme again every time I exit it. Please help. This happened some time lately with an update. Before it was my favourite.help 
org.coolreader#121035:	  Love the UI. Easy to use but i dont know why,for some books,this app keeps crashing and suddenly stops when i reach certain page. I m in the middle updating the apps.i hope it will solve the problem 
org.coolreader#121037:	  Crashes all the time. 
org.coolreader#121039:	  It can not download books, you write a title of a book but it doesn't search. 
org.coolreader#121048:	   I like this reader, having tried just about all of the others. I think this reader is better than all the rest. There are a few bugs, but they are minor. One is if you have a lot of ebooks, then a scan seems to forget about some of them. Second, there needs a way to flush all of the book info and rebuild it with a new scan. 
org.coolreader#121062:	   This worked Luke a dream until I got the error message yesterday saying "trying to load book from a non-standard path" and subsequently not opening my books any more (which I hadn't moved). Any fix for this? 
org.coolreader#121063:	   Most recent update fixed galaxy s6 crash. Great app! 
org.coolreader#121064:	  Yesterday's update killed the program on my LG G4, app won't open at all 
org.coolreader#121066:	   Version 3.1.2.84 didn't work at all on my Lenovo Yoga 2-8. 2 days later: Looks like all got fixed in version 104. Good boy Vadim, that was a quick response. Otherwise an excellent application. Reads all my old book formats without having to convert. Thanks! 
org.coolreader#121071:	   Program instantly crash on galaxy S 6.I need to reopen program around 15 times to open it. 
org.coolreader#121072:	   I have used this app for months now, easily my favorite reader. Never had any issues except for maybe a crash here and there. Please fix... 
org.coolreader#121074:	   Whatever was wrong with the update has been fixed. It is back to being THE BEST! 
org.coolreader#121081:	  Very good app, sometimes it crashes, but versatile and quick! 
org.coolreader#121085:	   Crash fixed my ... 
org.coolreader#121089:	  It always says error in loading 
org.coolreader#121106:	   Used to love it. Updated it, now it takes forever to upload, format and open. Then, when it eventually opens, it hangs & just stops working.Urgh! Please give me back the old version that worked just fine. I knew I should not have done the update. 
org.coolreader#121109:	   It used to be the best app to read books on but now the updated version does not allow you to go to specific page numbers and percentages . Could this error kindly be fixed 
org.coolreader#121110:	   Crashes seem due to page animation, turning off in settings, middle menu, page animation, no animation seemed to be a reasonable workaround. Other than that, Vadim did a great job on this application. 
org.coolreader#121116:	   The app has a horrible design. A lot of the finger toggle options don't work, it's difficult making selections. On top of all that, occasionally, when I open the app, it doesn't open my current selection, like it does normally. Instead, it opens the app as if I haven't even selected that book. It forgets that that was the book I was on and gives me the options to open books previously read. That alone is a problem worth avoiding this app for. 
org.coolreader#121118:	   Text reads OK till it encounters a capital letter (proper noun) without preceding period. For example: "We ran down to London for tea." "London for tea" is not read. Please fix. Other than that excellent app 
org.coolreader#121123:	   I use an Acer on the Android platform. This app crashes every few pages and when I restart it, it goes back to the page it was on when I opened the app. Terribly frustrating. 
org.coolreader#121124:	   Would be great app if it can be fixed where it doesn't keep crashing and shutting down every few pages. Using on a samsung galaxy tab 3....... Please fix 
org.coolreader#121128:	   But today was a problem on Elephone p5000. App crashed. 
org.coolreader#121140:	   By the latest update I experience the app closes every 10 min of usage pls fix it soon  after this new update facing same problems 
org.coolreader#121141:	   Tried it on Android 5.1 but its crashing again and again. Please fix it 
org.coolreader#121142:	  Crashes often causing me to lose my place. 
org.coolreader#121147:	   App used to be great but now I can't get get 5 pages without it crashing. Same keeps happening with my wife on her tablet..... 
org.coolreader#121148:	   Could you please share old version, the one before first version with crash on start? Until now it is not stable. Sometimes black screen after start, some rare cases - app freezes. 
org.coolreader#121149:	   Just love wood background and great interface. But there are some cons : after switch to other app and switch back it takes some seconds to get to reading position. Last update causes constant freeze+crash after which reading position resets dozens of pages back. Meanwhile I going to moon+ reader till fixed. 
org.coolreader#121151:	  Used to be a great reader, now it keeps crashing almost after every page turn. I give up - need working reader, not 'cool' 
org.coolreader#121165:	   Whatever you did with last fix has broken mine! Keeps crashing while im reading and locking up! Not happy! Was perfect before!! Trying uninstall and reinstall... 
org.coolreader#121166:	   Recently started crashing and reopening on wrong page 
org.coolreader#121167:	   It's almost not usable. Just crashes all the time. Sometimes it's on the first page turn. 
org.coolreader#121172:	   Love this app. I have used it for years. Skips on the the text to speech when words are italicized. Fix? Can I set something to stop this? Would love it if I could pause the tts in the ui for my Android device. Not complaints. Just suggestions. I use this app more than any other on my phone. Keep up the good work. 
org.coolreader#121175:	   It reads mobi so well. Kindle, Aldiko, etc failed to read it. 
org.coolreader#121191:	   Wonderful app. Should be 5 stars, but I've got problems with "browse file system" panel ( menu is not functional, extSdCard is not accessible, no ability to customize) - could you please fix that? 
org.coolreader#121193:	   Samsung S 5...crashing and can't finish my book. Please fix because I really loved this app up until now. 
org.coolreader#121194:	   Good app! But after the last update app crashes on Samsung Galaxy Tab 3 
org.coolreader#121215:	   Love the app. I've had it for years but yesterday the background changed. Please bring back the old paper one. This new one is too bright, even when you dim it. I hate it and it makes me want to install another app for reading. Please fix it 
org.coolreader#121217:	   Text to speech is BROKEN! It never continues to the next page after it reads the current page I'm on. Instead it goes all the way back to the first page. So glad I didn't donate anything cause I was just about to after testing it for 1 page. Glad I actually made text to speech read a whole page before giving this failure of an ebook reader any money 
org.coolreader#121233:	  keeps crashing! pls fix 
org.coolreader#121239:	  Cannot open pdf 
org.coolreader#121252:	  Error while loading document 
org.coolreader#121264:	   I've loved CoolReader until now. I spent $30 for a 38 MB epub ebook, a large reference manual, and CoolReader chokes on opening it; after waiting over 30 minutes for it to open and format this 38 MB epub file, I gave up and installed FBReader, which opened the ebook with a delay of about 8 seconds. Please fix! 
org.coolreader#121275:	  Kept crashing 
org.coolreader#121277:	    app, but have problem with reading out loud. App skips sometime some words 
org.coolreader#121283:	   Works nicely in Samsung but frequently not response and stop in Asus Fonepad 8. Can this be fixed? 
org.coolreader#121299:	   Used this app for long.was really d best n very easy to use.its acting weird recently.doesn't remember the page where I left reading,once I close and open again all recent books r gone n then have to start from searching which page I left at.tried reinstalling but no difference.plz fix 
org.coolreader#121324:	   The issues I had with a previous version have been fixed. I really like this app. Best reader I've tried. Other reviews said there was no brightness control but that isn't correct, just swipe up and down the edge of the screen. (Galaxy s5) 
org.coolreader#121328:	   This ebook reader is really great, better than most of the ones I've downloaded before. I only gave 4 stars because it can't open rar files. I hope you guys make rar files viewable in your next update. :) 
org.coolreader#121330:	  it crashes every time I open it 
org.coolreader#121331:	   Sometimes crashing. 
org.coolreader#121334:	   This used to be my favourite app but it's constantly crashing every time I turn a page. (Nexus 7 Android 5.1) 
org.coolreader#121337:	   All of my books on google drive is in RTf format and none of them won't open with this crap. Uninstalled! 
org.coolreader#121343:	   The app keeps closing itself after reading 20-30 pages, fix this please! 
org.coolreader#121348:	   As soon as I get really into what I'm reading, the app crashes. And doesn't save where it crashed. Once I flip to the right page it crashes again and again. Just let me read! 
org.coolreader#121354:	   (Droid Razr Maxx HD) This is the *best* *free* reader app. Tap zones let me hold it AND turn pages with the same hand; it's better than paper! Lots of customization. Reading RTF on Android is a miracle, plus all other formats except PDF. I have none of the bugs listed here. Finding files was unusual, but switching between "recent" and "folders" displays I now easily go from Books to Downloads and any other folder, just like windows. Yes some limitations but being free and so many formats it's worth it. &lt;3 
org.coolreader#121377:	   Unfortunately I under-use its capabilities, as I have had no cause to try other formats supported by the application. Nonetheless, as a pure book reader, it is one of the very best. There are plenty of configuration options, for those who insist on such things. The biggest failing of Cool Reader is the Library function, which basically doesn't exist. For me, this isn't a problem as I use Calibre Companion as my library app. When I click on a book, it opens up Cool Reader. When I exit Cool Reader, it returns to Calibre Companion. This is a surprisingly quick process. I have encountered other readers that aren't as fast switching from library mode to reader and back. It's not a program for everyone, but for me, it is extremely useful. 
org.coolreader#121378:	  Can't find any of the books I want! 
org.coolreader#121380:	   But crashes every few minutes when trying to actually read the book, which is incredibly frustrating. Would be great if the read aloud would read italics in a sentence rather than jump to the next sentence as it can get a little hard to follow. 
org.coolreader#121381:	   Using nexus 7, after update to new android the app started to crash really often. Can't read anymore 
org.coolreader#121383:	   I only got this app because it supports text to speech, which I really wanted to use for when I'm going on long drives and the book I want to listen to doesn't have an audio book version. Although it mostly works, the is an annoying problem when encountering italic and/or bold fonted words. It will read out the paragraph up until the mentioned word, then skip the italic word and the rest of the entire paragraph and continue to the next. Another issue it has it that it will often read a paragraph twice. 
org.coolreader#121396:	   'Export bookmarks to text file' is very useful. Report bug: The app is starting to crash since yesterday ( 23rd Feb 2015 ) while trying to add highlighted text. And when the app is restarted, the eBook opens in Scroll-View mode instead of 'PageView' mode. 
org.coolreader#121399:	   It gave me issue back when i accidentally uninstalled it and then installed it back. It started loading a epub book of 400 pages to 1500 pages. But i reinstalled it after a long time, seems to have taken care of that issue. But the loading of any pre-opened document has a lag time of 4 5 seconds, its actually annoying. Rest is all ok. 
org.coolreader#121403:	   Sometimes crashes on my Samsung S3 
org.coolreader#121416:	  excellent, can't ask more for free. love it. not accessing public library catalogue. 
org.coolreader#121419:	   Always shows "Error while loading document". And the library sucks, it's hard to add document into the library. Need to learn how to manage documents from MoonReader. 
org.coolreader#121424:	  My favorite reader..but it wont save current settings after exiting the reader..please fix it... thanks.. 
org.coolreader#121428:	  Great features, but crashes every dozen pages on Android 5.0 
org.coolreader#121430:	   This is the best epub reader when used in day mode. I have some epub books which would not work no matter what setting used, the font is dark on dark, impossible to read. 
org.coolreader#121431:	   This really is fantastic ereader. Performance is flawless. I've never had it crash. There are enoigh features that I regularly use without being excessive. All around a great product. 
org.coolreader#121438:	   Not so good on 4.4 as it crashes randomly and when restarted puts you back to where you last opened it  
org.coolreader#121439:	   Supporting a lot of formats, is very stable and has a lot of settings. Using it a few years and never had a problem. Probably it's the best reader so far. 
org.coolreader#121447:	   I can't change font color. Dark mode doesn't work correct. Text is too dark no matter of bright level. 
org.coolreader#121458:	   Has formatting issues, and Control problems, decided, to go with Moon+ Pro eReader, Since I Already got a Big Discount On The Paid Deluxe Version, and Also Trimming Back Duplicate apps that have less Bells & Whistles to save Memory, on a 64 GB Tablet.... 
org.coolreader#121461:	   It constantly crashes when trying to change page. I had no issues before updating my tablet to android 5.0 Please fix 
org.coolreader#121462:	   Love this app but no matter what I do it won't save the font size between sessions. The font it defaults to is incredibly tiny, almost unreadable. 5 stars once this is fixed. 
org.coolreader#121466:	   Using it without any problem, like it 
org.coolreader#121478:	   Unable to download eBook files....shows error 404 
org.coolreader#121503:	   Read option is not working properly. Most of the time skip words and paragraph also. Please fix this issue. 
org.coolreader#121504:	   My moto g 2 crashes after few days of usage... Hope it has been fixed or will be fixed soon... Otherwise great features! 
org.coolreader#121509:	   Have been using for sometime and this reader just gets better. Did have some crash issues, but now fixed. For free makes it my number one reader. 
org.coolreader#121513:	   All the letters are read from left to right which is not good . Hope you could fix it and make it to support RTL 
org.coolreader#121516:	   But useless for reading online literature. When you try to load anything from online libraries, you get 404 or 500 errors. And even when something loads, navigating through it freezes the app. 
org.coolreader#121517:	   How can i install dictionary. I've tried fora dictionary from playstore but it won't work 
org.coolreader#121525:	   App Not open .pdb and .mobi file 
org.coolreader#121541:	   Good reader but still crashes often...have to bookmark often because of crashes... 
org.coolreader#121546:	   This is the worst app if you don't know the series or what the U.R.L. is you can't get your book. 
org.coolreader#121550:	  Your app crashes every few minutes. 
org.coolreader#121557:	  Bengali fonts are misplaced in words. Is there anything I can do to fix? 
org.coolreader#121562:	  I have been downloading a lot of apps that can open a file and all of it failed me I wasted a lot of data and I found this app and saves the day I was close to deleting those files which were impt to me but I had no choice coz its useless anyway. Thanks to the creator. 
org.coolreader#121564:	   Very good software, amazing interface. I'd say better than moon reader. But, the only disappointment is that it can not open pdf files. :-( would give it 5 stars if you are able to add pdf support.. Thanks.. 
org.coolreader#121566:	   I just love everything about it. So far I don't see any problems. So keep it up! ;-) 
org.coolreader#121567:	   Unfortunately lately the app crashes a lot on my s3, while reading fb2 files. 
org.coolreader#121568:	   but it crashes on my asus tablet,fix would be wery welcome... :-) 
org.coolreader#121575:	   Seem that it is not working every time I use need to set font size 
org.coolreader#121576:	   keeps crashing! would give 5 star if fixed. 
org.coolreader#121577:	   My online library doesn't work.... 
org.coolreader#121580:	   I installed this because it says it will open .rtf files but it said "can't open"! So I tried Office suite 8 and not only did it open but it even has edit. 
org.coolreader#121584:	   Have it installed on all devices, Hasnt failed me yet 
org.coolreader#121588:	   Last time I tried out it used to crash. Now its fixed. 
org.coolreader#121590:	   Frequent crashes in android 5.0 with not saving last reading page. One of that removed all my saved books. But still sometimes some deleted authors appear in the list. 
org.coolreader#121593:	   Also crashed system on first start. 
org.coolreader#121596:	   I love this app, but recently it stopped opening my newer .rtf files. They were all made on the same computer in the same program but newer ones won't open. Great app though, if it updates and fixes this I'll be sure to revise my review 
org.coolreader#121597:	   So very frustrated that my font/format settings don't stay the way I set them. It used to! I set them big and bold because I read outside on a phone a lot... please put it back or fix and I'll give you back that fifth star! 
org.coolreader#121599:	   I like this application. Only problem: it crashes regularly on .doc documents (older ms word format). New comment: THE APPLICATION IS STILL CRASHING. The "goto page #" feature is buggy. When I use the slider, then often does not go to the selected page. I had uninstalled because of the crashing. 
org.coolreader#121609:	   I am very very disappointed with the read aloud function of this app, it's just skipping words, sometimes the whole paragraphs, please fix it as soon as possible 
org.coolreader#121610:	  Has issue with reading same line over and over. Hard to stop it. 
org.coolreader#121623:	   App is great. I like its background, Classic paper style. But 1 problem that annoying me is orientation option does not work at all! When I lay down and tilt the phone, app automaticly switch to landcape though I turned off my device auto-rotate screen and set orientation portrait to the app. But still doesnt work. Pls fix it! 
org.coolreader#121624:	   I've been using this app for years. Free, no ads. Extremely intuitive hidden brightness slider controlled by sliding your finger up & down the left side of the screen; wish the rest of my phone operated the same outside of the app. You can customize everything: font size and color, background everything (day and night mode), what the hidden grid of nine short and long press screen panels do, etc. Put a bit of time into learning and personalizing and you'll wonder why all your other apps don't work the same. 
org.coolreader#121626:	   Great App! No flaws... Buy after the new update the app does not save my prefered setting for font size, it goes back to the font size 30 which is too small, everytime I exit the app 
org.coolreader#121632:	   I really like this app. I read a lot, and use the read aloud function on my way to and from work. My issue is that I noticed the other day that while in read aloud, it ships large chunks of paragraphs. It'll read the first sentence or two then skips down quite a bit. Fix that and it's a 5 star app in my books. 
org.coolreader#121634:	   Ammm it was 5 stars... But for the last 6 months it was unusable. With the new fixes, i can't evan see the Mobi books that were working fine a year ago. Am i missing something? LE. i just had to scan the directories. Everything is brilliant. 5 stars Thanks 
org.coolreader#121636:	   All is good again. Thanks for the rapid start up crash fix. Respect to Dev! This app is the business. 
org.coolreader#121637:	   Very responsive developer too... Thanks for quick fix! 
org.coolreader#121638:	   This app makes my day... Thanks for fixing the crash so soon :) 
org.coolreader#121644:	   Guys i had the same crashing problem when i updated the last update. Just uninstall the app and reinstall it again. It will work fine. I hope they can find a solution without this process but you can do this till then. 
org.coolreader#121646:	   Thanks Gergely Kovs, because of your comment, I was able to solve the crashing problem upon starting the app. I was feeling very down when I thought I wouldn't be able to use this. So thank you very much. 
org.coolreader#121647:	   I like it but it now often crashes. Had to reinstall. 
org.coolreader#121651:	  It was very good, 5 stars, but today, after the update, it cannot start at all... The fix came very fast. Thank you! 
org.coolreader#121652:	   To solve the latest upgrad freezing problem: just remove (completely) the old one and reinstall from the play store again. This worked for my Galaxy S3 
org.coolreader#121653:	   Update pointless Now it does not open!! So uninstaled. 
org.coolreader#121654:	   Please fix as I cannot open app at all 
org.coolreader#121655:	   It was great before started to crash on opening. Now can not even open. Fix it!  
org.coolreader#121656:	   Totally loved this app but now it won't open 
org.coolreader#121657:	  Stopped working after update! Please fix the problem! Can't live without this app 
org.coolreader#121658:	   Have loved this app for years but it is now crashing on startup. Please fix! 
org.coolreader#121661:	   Have loved this app for years now but the new updated version keeps on crash please fix this 
org.coolreader#121662:	   After Updating App, it's crashing continuously....... 
org.coolreader#121663:	   Not sure what's going on, but it crashes each time I try to open it. Uninstall. 
org.coolreader#121664:	  Got note2. It has stopped working after the latest update 
org.coolreader#121665:	   My favourite reading app, but after the latest update it crashes every time I try and load it. 
org.coolreader#121666:	  Wouldn't run at all. 
org.coolreader#121673:	  Thanks.Very good apps. Now it can detect my SD card aswell which was an issue earlier. 
org.coolreader#121690:	   I wish I could give it five stars but it has some problems that need to be fixed. And I wish there was a quicker way to zoom fonts. But I can find no other reader that let's me read epubs AND can properly read .txt file books. With pure .txt books, Cool Reader deals with the wrap around and indentation perfectly and even manufactures a good table of contents and bolded centered chapter titles. And, very importantly to me, it let's me read in 2 page landscape view. 
org.coolreader#121694:	  Crash on nexus 5 KitKat when opening a chm file, plz fix! 
org.coolreader#121702:	   I have been using this app from last 2 years, Its really great and I was astonished with its TTH feature, which was mainly I am using. Now its not working anymore. It doesn't goes beyond two three paragraphs, it goes in same loop, reading same paragraphs again and again. 
org.coolreader#121704:	  Opds prob can't open online catalogue 
org.coolreader#121708:	  I can't find how to change footnote font size: the menu for footnotes doesn't seem to change it, it seems. But otherwise a great app. 
org.coolreader#121709:	  HAS FONT SIZE PROBLEMS, ALWAYS HAE TO BE ADUSTING FONT SIZE FROM BOOK TO BOOK.. ALSO, OFTEN OPENS NEW BOOKS SOMEWHERE TOWARDS THE MIDDLE OF THE BOOK. HAVE TO USE THE SLIDER BAR TO GET BACK TO PAGE 1. 
org.coolreader#121715:	   Would be better if it worked properly. Crashed while loading mobi and epub. Managed to get pdb loaded, but couldn't get to the page I wanted. Also, attempted 'read aloud', but would always jump back a page. I think this app needs a sort out, it could be good then. 
org.coolreader#121725:	   Why is the links inside the book cannot be clicked? Please fix this issue. Thank you very much 
org.coolreader#121727:	   Screen rotation is turned off on my phone but the app still auto rotates when I try to read in bed or so much as tilt the phone to attach the charger. There is no option to disable it in the app...pls fix this issue so I can re-rate. 
org.coolreader#121730:	   Then got new phone. It crashes all the time and will not hold settings. 
org.coolreader#121732:	   I had a poor experience the 1st time I tried this app. Now it is my favorite. I send a link to the app with my eBooks I send out. I especially like the feature of Read Aloud in settings. It works great with Ivona that supplies a natural voice. Together the 2 are the best I've found. Oh, the Read Aloud option in settings looks like a set of headphones. The only problem is if you are listening to a book and touch the screen, it stops reading and goes to read only. Small problem maybe they will fix in the future. Another good thing is you can stop the app and when it restarts it is where you left off in the book. Other apps restart at the beginning of the book. 
org.coolreader#121736:	   Same issue on two tablets with shutting down while reading less than a chapter and and if this isn't annoying enough, if I don't continually save bookmarks as I go along it restarts at very first reading point...frustrating! Also I enjoy listening to read aloud while I walk or drive yet maybe 5 pages in it begins to repeat same sentences/paragraphs over and over until stopped and restarted which happens time and again which is a real disappointment...Hope this can be fixed soon or will have to find another. 
org.coolreader#121758:	   Its completely unusable. Everywhere there's supposed to be "quotation" marks, there is instead ?question? marks. Fix that and you'll get 5 stars and I'll switch back to cool reader from moon+....... Edit: updated version has the same problem...... 
org.coolreader#121763:	   Latest update fixed Mobi format issue. Was, and is again, the best book reader. 
org.coolreader#121767:	   Some how the app doesn't include my sd card in the app's predefined directories. I am disappointed that the system dead locks the directories. Even after moving the folder to my phone's internal storage, app just straight out dies trying to format some of the book. Had the same issue with my old phone, app only showed sd card and ignored phone's storage. Worst design ever. 
org.coolreader#121788:	   This is my favourite reader app, fast and supports a ton of ebook formats.With later versions some mobi books appeared in raw html, resolved by downgrading to 3.1.2-33 (all versions can be downloaded from sourceforge, you can find a link on coolreader's homepage) EDIT: fixed in new version, thanks:) 
org.coolreader#121791:	   Now that .Mobi support is fixed again, this reader returns to the *top of my most-used app list. A few small tweaks like a rearrange-able folder/location bookmark list would be nice, and I dream of being able to reflow/format text from a pdf file one day. But what it already does, it does better than any other reader I know of. :-) 
org.coolreader#121793:	   Ok so you fixed most of the problems and I appreciate that. Some files still have ridiculously large margins and I have to use moon reader on those files, but for the most part this is my favorite reader. 
