com.fsck.k9#50000:	  Your app will not work on my tcl 5056 n.... Then again I am smart and use a vpn.... Dumb ass 
com.fsck.k9#50682:	  Error 
com.fsck.k9#50685:	   5 stars,I prefer how reliable the k9 mail program is and rarely crashes. 
com.fsck.k9#50691:	   Doesn't open images in mails they hv to download from attachment 
com.fsck.k9#50698:	   It solved my IMAP problem 
com.fsck.k9#50709:	   Has lots of great features but it continually stopped syncing so I wasn't receiving my mail. I managed to get it sync again only to have it quit again a day or two later. I finally got tired of it and uninstalled it. 
com.fsck.k9#50710:	   Connection Error msg, when opening any email, works after 2 or 3 attempts. 
com.fsck.k9#50717:	  K-9 Mail client is simply the best and the most versatile way of working with your inbox on the phone. I've been using it since 2009 on a number of Android devices and never had any issues with the app. Extremely fast, reliable and configurable, doesn't drain battery even with the frequent push-notifications enabled, has intuitive interface, and does exactly what it has to do. K-9 Mail is also smart enough to recognize necessary settings for the majority of ISPs, making the initial setup effortless. Thank you guys for this decent open-source software. 
com.fsck.k9#50727:	   Won't sync says it pills email but messages are not revised received 
com.fsck.k9#50732:	   When i click in the k9 new mail notification nothing happens and the notification disappears. Sync is not working properly. 
com.fsck.k9#50742:	   If you get problems with Google blocking account setup then try turning on "Allow less secure apps" from your Google account's "Connected Apps & Sites" page. 
com.fsck.k9#50746:	   I love this app. The problems started after the last two upgrades. Now when you open an email and try to enlarge it, it just makes it larger than the screen width. It used to re adjust and keep the email screen width and made it longer. Is there a setting for this or is there a program error? July 13 2016. This app has quit functioning properly as of today. I can only get to my starred email list. The inbox is not accessible. Can this be fixed? 
com.fsck.k9#50755:	   Not getting any email. Tried another app, I had 25 unopened. Bye dog! 
com.fsck.k9#50758:	   Was so happy to see able to load onto phone. But sadly that was as far as it got. Still not working on imap settings identical to inbuilt email app 
com.fsck.k9#50759:	  For what ever reason sync stopped working on 2 of my devices. I deleted and reinstalled imported setting from a working state and NOTHING Takes for ever to receive notifications on email.... PLEASE FIX 
com.fsck.k9#50762:	   The best email Android client I've found so far. BUT - GMAIL HAS BLOCKED access on K9. So are you going to fix this or not?? Please respond for all your long time users. 
com.fsck.k9#50763:	   Push mail has not been working for some time, meaning delayed incoming mail. Too many settings. Some user interface problems. Otherwise good. 
com.fsck.k9#50765:	   But sometimes the application stucks in refreshing state and doesn't receive latest updates. This can be fixed only by application force stop. 
com.fsck.k9#50769:	  Auto sync doesn't work 
com.fsck.k9#50773:	   I'm using it since the beginning. I switched from Samsung to Huawei and the "unread" widget is 2x2 eating too much space. Can it be fixed somehow? 
com.fsck.k9#50775:	  good email client app. My only issue is when selecting a contact to send to, it always shows the error 'no email address could be found for this contact' - though they all had emails defined! 
com.fsck.k9#50776:	   It's been 3 years that I have this problem in Cyanogen. Any ideas why? Any workarounds, instead of rebooting (ie adding a button to kill the thread)? 
com.fsck.k9#50783:	  Can't login to my yorku mail account 
com.fsck.k9#50785:	  Very frustrating, cannot find how to change account information (servers, passwords, etc.) anywhere. It prompts you for that info on setup, but then no obvious way to change. 
com.fsck.k9#50795:	   Some emails get bugged and i can't view them 
com.fsck.k9#50796:	   Really like app, can display msgs and headers exactly how you want to. Biggest problem is retrieving gmail headers is slow and hit n miss along with viewing emails often will not view. Has great search function, but yet again is not reliable when searching gmail databse.. Pls fix these problems. Can be 5 Star. 
com.fsck.k9#50799:	   I have only been using it for a few months and right now what I find "surprising" is that there seems to not be a single tap way of replying. I mean, are you pooping me? Other than that, so far it seems like it might be okay. But we'll see. UNFORTUNATELY, I actually stopped using it, because attaching pics, they go out full size. THIS IS ON A PHONE. Not like I've got the dexterity or inclination to work in multiple apps just to send pictures that won't use all my data. 
com.fsck.k9#50800:	   Problems with the new update. K9 is not opening. Any suggestions? 
com.fsck.k9#50801:	   Latest version saved an email sent using account B and signed with a pgp signature to the sent folder of account A. The two accounts are in no way related and this should not even be possible. Major bug that needs to be fixed. 
com.fsck.k9#50804:	   ....until I set up an IMAP account to access Time Warner email and found that K-9 doesn't seem to handle IMAP very well. However, a couple of calls to TW may shed some light on the problems. 
com.fsck.k9#50812:	   ...but way too much to go through to set up. Also, there seems to be no way to update your password once it's changed, other than uninstalling and reinstalling (which means going through the extensive setup again). EDIT: The set up is still too exhaustive, but this is by far the best client app I've used (since the security issue with gMail has been addressed). 
com.fsck.k9#50820:	  Excellent all-round mail client for easy handling of all your various mail accounts. Clean user interface with focus on good usage. No useless eye-candy. Mail as mail should be. 
com.fsck.k9#50825:	   I have to say the ui looks horribly dated its dark theme is holo black you guys should update to material theme I can't use this app it looks like its from 2012. 
com.fsck.k9#50826:	   Fails to forward, fails to tell you!... Can't resend. Pretty rubbish Regratably. 
com.fsck.k9#50827:	   but when it comes to UI and design, it's a complete failure. Android has moved on past Jellybean. Wake up guys, it's 2016. Also there are absolutely no gestures that could make life easier and the long-press-actions are too many 
com.fsck.k9#50830:	   Alot of great features. However it has issues with email syncing and it can drain your battery unexpectedly. There's no easy way to kill a sync job without force quitting the app, inherently the app should kill any sync attempt that takes an excessive amount of time but it doesn't. 
com.fsck.k9#50832:	   I like K-9 a lot. My only complaint is that it regularly stops syncing for no reason, showing a "" message. But if I manually sync, it will usually start syncing again... for a while, anyway. 
com.fsck.k9#50833:	   The latest upgrade just broke K9. Random certificate errors. Please fix this ASAP. 
com.fsck.k9#50834:	   Hi there guys. This app was the best app for emails till date. I hoped that it stays on my phone for ever but the recent sync issues have been a problem for me. Even though setting everything properly it doesn't give me push notifications for the new emails, and always displays syncing disabled which I have not. Fix this problem will return back to 5 stars. 
com.fsck.k9#50837:	   I am using it for about a year now and just love it. The decryption and verification with pgp works like a charm, though sometimes it quotes the encrypted message in a reply (rare cases). There is however 1 thing that bugs me, I never use the instant reply button in the notification, but sometimes I wold love to instantly delete some spam messages preferably right in the notification (I do unfortunately get quite a lot of those). Oh and maybe a function to search all the messages on an imap server. 
com.fsck.k9#50839:	   There is so much to like about this app. It is with real regret that I am probably going to uninstall it because I can't get it to work for me. I am using it on Android 6 with eight accounts using pop3. The problem is that mail is downloaded on some accounts only to disappear, never to be seen again. I have googled this (and the problem is widespread) but no answers that work. I am prepared to believe that it is a configuration issue but I am obviously too thick to work it out. And there is no manual. 
com.fsck.k9#50840:	    not working since last year. It was never fixed. 
com.fsck.k9#50843:	   I keep getting a connection error when I open emails in my Hotmail and yahoo email. It says connection error and then shows a blank email. Please fix! Thanks 
com.fsck.k9#50845:	   Often doesn't send mail, gives me a fail to send error, I've switch to using my browser which is what I used to on my laptop before it died. I'm out of work and need something reliable. 
com.fsck.k9#50846:	   I love that you can store messages on the SD card as I was running out of memory on the device storage. I have Exchange sync perfectly an IMAP account and also Gmail and everything works perfectly. For people having issues with Exchange Google which URL you are supposed to use. 
com.fsck.k9#50848:	   5 starts if issue is resolved. App keeps restarting in the background, lagging the phone and eating the battery. Pls solve this else I have to uninstal it. Experia Z1 
com.fsck.k9#50862:	   Tried the app on my nexus 7 for my work exchange mails, but it failed to work. Could not find server even though the settings work fine with lots of other mail clients. Surprised that this highly rated app struggles to do automatically find ones exchange account and set it up accordingly. Maybe I'm doing something wrong. 
com.fsck.k9#50863:	   I like k9, but it's a major battery drainer on the latest Android. Also according to the reports on the intarwebs I am not alone with that problem. Apparently it does let your phone go to deep sleep (wake lock and/or mobile active) 
com.fsck.k9#50869:	   I actually love the app but for some reason I cannot sync with my hotmail account. Any suggestions 
com.fsck.k9#50871:	   Work Exchange or personal POP3/IMAP, I've tried all three and k9 won't connect to any of them. I find it odd that no other mail app I've used had this problem, yet this is supposed to be one of the best mail apps available. 
com.fsck.k9#50874:	   I've used this ever since i got my first android phone over five years ago, and love it. The only thing that could be better is a fix for starring emails - when tapping the star on an email, it scrolls the interface instead. 
com.fsck.k9#50881:	   Sad to uninstall K9 as I have used it for years. I like its visual approach among other things. But its become buggy/unstable and now I am faced with syncing disabled and no way to fix it. Emailed support and was directed to the manual and G+ community. No fix in manual and post to community asking for help unanswered. Had no choice but to make the switch to another email client for android. Sorry K9 but I guess all good things end. Bye! 
com.fsck.k9#50886:	   There is no info where I am. I want a global setting for storing mail. I WANT A GLOBAL APP PASSWORD! Same for number of mail to scan for. Same for other settings too. The app is badly structured. Half an hour ago I had to reboot my i9195 device to make K9 stop syncing. I don't want auto sync. I don't understand what the f*ck the app is doing. I hate this stupid app. 2016-05-04 Uninstalled the app. I use a payed R2Mail now. 
com.fsck.k9#50888:	   At the very start it states the the majority of free hotmail accounts won't work. I use hotmail almost exclusively. A lot of people do. I like that the developers don't mind reviews but want a chance to fix a problem. Only thing is the app itself says it doesn't work. I was hopeful but now disappointed. 
com.fsck.k9#50889:	  Does not work with Hotmail. Like so many other mail clients. Microsoft... 
com.fsck.k9#50890:	  Can't open my exchange email 
com.fsck.k9#50895:	   Being a Whovian for many years, i remember when Tom Baker got that tin mutt, but my previous adventure with this email client wasn't good. Now it can't do automatic setups! Even providing an SSH server is a Machts nichts help. What IS your problem? 
com.fsck.k9#50915:	   Keep getting no text connection error 
com.fsck.k9#50916:	   So recently I've been having problems with K9 mail and despite my best efforts it still persists. I have had problems checking my other accounts on it after checking one of them, for instance if I check one email account and then try to check another the program just hangs. I have to clear the cache and force a stop for it to work again. So that being said I'm switching. 
com.fsck.k9#50917:	   4/06/2012 - A little outdated in how it looks, could be better in describing how to setup ie actually give the option for push or manual sync. Add a schedule for when mail is synced and then give option to just manual sync etc outside of those times. These are only things tying me to stock! 23/4/2016 - same applies....only this time gmail fails to configure as the app doesn't comply with modern security standards...oh well..2nd attempt in 4 years ends in disappointment again.. 
com.fsck.k9#50926:	   It was a good app ,I have been using it since 2 yrs but now their is problem with the emails 
com.fsck.k9#50931:	   When did all the forced closes (crashes) start? This app has become really unstable. 
com.fsck.k9#50936:	   Seems it doesn't want to accept my works email exchange account. Keeps saying a valid url for the exchange account could not be found. It's funny because plenty of other email apps don't have a problem. And why are the time and date on the emails so far behind the actual time and date? Get it sorted, K9! 
com.fsck.k9#50942:	   I have used and loved this app for several years and thought it was the best email app our there. But on my new S7, I am having nothing but trouble. Constant problems when sending emails and crashes at least 4 times a day. I will be uninstalling and trying to find another app. 
com.fsck.k9#50943:	   Only problem right now is since my phone upgraded to Marshmallow, emails don't resize. Hopefully they'll fix this soon 
com.fsck.k9#50944:	   Used to be great, but now crashes (stops) several times each day on my new phone. Getting ready to uninstall if not resolved soon. 
com.fsck.k9#50950:	   Frequently outgoing mail's fail ..error 500 or something like that..hours trying no use..It stressed me lot.. 
com.fsck.k9#50954:	   Everywhere, except home, no issues. At home, using Comcast, the program hangs, and I have to stop and restart it, to be able to check Yahoo mail. Comcast is the issue, but other mail clients don't have that issue. Strange situation, to me. 
com.fsck.k9#50955:	   Stopped working with virgin media 
com.fsck.k9#50961:	   Please fix, otherwise fine. 
com.fsck.k9#50965:	  It doesn't register as even being on the phone so when I find it in the bin strait away 
com.fsck.k9#50966:	   Can't fault what it does. Last issue was sorted out in 24 hours. 
com.fsck.k9#50967:	   Work well. Under active development so bugs are fixed quickly. 
com.fsck.k9#50983:	  Sorry, it now crashes and has become unusable. 
com.fsck.k9#51013:	  What a load of rubbish as I couldn't get into anything after down loading app 
com.fsck.k9#51021:	  Ugly, hard to read interface. Darkening theme doesn't work at all. 
com.fsck.k9#51023:	   then I had to switch because of wrong dates (and therefore sorting) on some messages, lack of swipes, a crash constantly occurring when receiving some type of messages (probably malformed but no other client I have tried crashed because of that), and missing features in notifications. 
com.fsck.k9#51028:	  Great email app, i am using this app more than 3 years, but i always have an issue, i am not able to configure my gmail account to this app any day, if somebody can help me configuring my gmail to k-9 that will be really great and i can use my gmail account in one app instead of using another app for checking my mails, thanks 
com.fsck.k9#51029:	  Great app! I've been using this app on multiple devices for years with only a few issues. Fantastic. 
com.fsck.k9#51030:	   Doesn't work with the priv 
com.fsck.k9#51037:	   Good app. Has some minor issues that are interface design oriented. Not sure if this is an Android exclusive problem, but starring email from initial screen is a pain. Will scroll up email instead of starring. Not a deal breaker. Also searching for old mail is not very intuitive. Finding sent mail could be easier. I do like and use it every day. Will never replace Gmail. 
com.fsck.k9#51040:	   Reinstalled k9, reply button now doesn't show, can't find any solutions. Getting super frustated - please respond to this with how to fix! 
com.fsck.k9#51042:	   Can't use with gmail because it doesn't meet modern security standards. Worrying! 
com.fsck.k9#51047:	   I used this application for a number of years. I started getting "failed to send email" notifications and the app appeared to be degrading over time. 
com.fsck.k9#51053:	   I've used this for a year or two on my Xperia Z2 without a worry. I've just installed it onto Z5 phone to discover you can't open a new email or reply when it's held in landscape mode. That icon is missing on the top of the screen and only visible on the bottom when held in portrait. 
com.fsck.k9#51062:	   Overall I love this app.. wish there was a mail reader this powerful for my iPad. But this latest version broke it, at least for me. I think there might be settings, but i can't find anything. Previous version, all starred emails stayed on top. Now, not only is that no longer, but even read emails go to bottom. I want emails to stay in order received, read or otherwise. and i really liked starred posts on top, although i can live without that since you can load them by touching the star. 
com.fsck.k9#51066:	  Great app. however, goo doesn't seem to like it and it can't be used with their g mail. claims due to security reasons. can that be fixed within this app, or is it really goo trying to force us to use their app? 
com.fsck.k9#51069:	   RECENT ISSUE - There's a bug that causes the screen to scroll up unpredictability whenever you zoom in...its maddening. I will try to reinstall. K9 is the only Android email client that I can tolerate. It's ugly and slightly confusing when using the back button with multiple email accounts. But the back button is more of an inherent problem of Android's than with the app. Except for this recent bug, it's a usable email client that I use because there aren't any better alternatives atm. 
com.fsck.k9#51074:	   I have googled for a good app which can save internal memory from my emails and it's attachments. Downloaded K9 but it is not working.... Fake app... 
com.fsck.k9#51078:	  It don't work like it use to 
com.fsck.k9#51082:	   I cannot get beyond the fugly UI. I am pretty old school so it is not that the UI is outdated. It would have been called awfully ugly 20 years ago. All those blocky letters in different colors makes me think I am looking at a shareware program from 1995. On the plus side, it did setup my Yahoo account easily. However, there should be a choice where to store the emails and not just downloads. 
com.fsck.k9#51087:	   No longer works with Gmail, app doesn't meet modern security standard according to Google. Shame too as I prefer this app's layout to Gmail app but looks like I no longer have that choice. Completely useless to me as is, so downgraded to 1 star, I'll happily start using it again and rate back to 5 stars if this issue is fixed. 
com.fsck.k9#51098:	   Extremely easy, fast and accurate without crashing, and best of all is FREE!!!! 
com.fsck.k9#51109:	   Please add filters/rules so I can set certain emails from not downloading, or specify which to download. Also would love to see an option to check mail automatically even when sync is disabled. Thank you. 
com.fsck.k9#51110:	  Hi, I have a very simple request, please allow "Mark for Deletion" and "Unmark" ... also, show the message with a strikethrough if it is marked for deletion -- regardless of where that marked for deletion was made. Thank you. AndrewM Edit: I would like to upgrade my rating, but you need to address this issue first. 
com.fsck.k9#51119:	   Can't get Gmail account to install. 
com.fsck.k9#51123:	   Perhaps its me, but can't get my gmail account set up here. Tried several times. 
com.fsck.k9#51128:	   Still love the app but since the November update it fails to update on my Droid Turbo. 
com.fsck.k9#51131:	   Unable to connect to webmail. Just throws up an IO exception.. Uninstalling as of no use.. 
com.fsck.k9#51152:	   Tried to add Exchange account. Error cannot connect to server. IOException. 
com.fsck.k9#51153:	   Unfortunately it stops, regularly. Installed new update, tapped sync - CRASH. Have 4 accounts all POP/SMTP all empty but now one shows larger size after compacting. Pls fix. 
com.fsck.k9#51160:	   Tired of the certificate error flashing at me. Looked it up and fixed it once and can't fix it this time. Moving on. Too irritating. 
com.fsck.k9#51163:	   Can't get any mail! Constantly get "IOException Pushback Buffe" and won't fetch mail. No solutions anywhere! HELP! 
com.fsck.k9#51166:	   Was my favorite mail app. Unfortunately stopped syncing properly. Kind of needs an overhaul, hope they step it up. 
com.fsck.k9#51167:	  Great mail app... except it does not let you know about login failures.. it just pretends that everything is OK 
com.fsck.k9#51168:	   Why its no longer works with easy pgp? If I get encrypted email, have to copy paste that into easy pgp. If I just press decode it says there is no suitable app found... Fix and you will be best! 
com.fsck.k9#51173:	   Works as advertised apart from a few bugs here and there. Most reliable and tunable IMAP sync app that I've found for android. The biggest gripe is the UI though. It's 2016 and the design is not just outdated but simply horrible in this day and age. 
com.fsck.k9#51175:	   Imap server search stopped working... 
com.fsck.k9#51179:	   Does not work with exchange 2010 thus I can not use it. I did like it overall. 
com.fsck.k9#51185:	   When download many messages the app crashing every time 
com.fsck.k9#51186:	   Currently deleting my emails on both my Samsung Tab S and my Samsung Galaxy S6. Please fix so I can rate you better! I used to love this App, but now I can't trust that my emails won't get deleted. PLEASE FIX! 
com.fsck.k9#51192:	  Unable to connect to server .... 3 weeks waiting for fix. 
com.fsck.k9#51204:	   Better power consumption than other mail clients, and handles conversations well. Only issue is how it handles exchange accounts, but I can use it as an IMAP client for exchange. 
com.fsck.k9#51207:	  I've used this app for years to view my email via my tablet and smartphone. I've had few problems with it and it performs solidly. The only issue I've had is with sending email using ssl. Sometimes, the email won't sync because the certificate is "invalid" as it states. Simply resending the email usually resolves the issue. However, the message is not apparent as it doesn't pop up in the app. You have to watch for it in your notifications. 
com.fsck.k9#51218:	   I've heard a lot about this app and was excited to try it out, but I can't get my exchange email set up. I tried using the same settings I have in a different email app which is working fine, but no luck. 
com.fsck.k9#51225:	   I want to use the dark theme but then all colors in emails text are gone. Not even negative colors. So just plain text. Not useful. Please fix. 
com.fsck.k9#51226:	   Used K-9 for several years. But lots of issues lately...and not syncing correctly. Made me miss some really important emails. :( :( :( Was the best email app...but now I'm going try some others. 
com.fsck.k9#51230:	   Best app I've used, and it's open source. The one bug that irritates me is that sometimes the notification that mail is being checked gets stuck and won't go away 
com.fsck.k9#51233:	   I use gmail as my primary mail app, but my university mail won't work with it. This is an excellent alternative that is easy to use and quite similar. Although I do keep forgetting that swipe has a different effect for each. 
com.fsck.k9#51237:	  Doesn't save to SD card 
com.fsck.k9#51241:	   Does what I want it to do but with the recent update it keeps crashing. 
com.fsck.k9#51248:	   Tried several times to get it to work and failed. Other programs on the market know how to automatically import the email settings from the email accounts. 
com.fsck.k9#51249:	   Since i updated last time auto sync is not working however poll frequency is set on every 2 minutes please fix i have been using this from 4 long years and love this 
com.fsck.k9#51256:	   What changed??? Ive been using for years and have liked, but K9 keeps crashing and is unusable for the past several days. I'm using a Nexus 5 with 6.0.1 
com.fsck.k9#51261:	   I would give 5 star, but the lack of info in the "failed to send some messages" error is frankly quite annoying!  this to show why it failed. 
com.fsck.k9#51262:	   Paid for kaiten pro and you don't get any support from them. K9 stays up to date with upgrades and performs great. 
com.fsck.k9#51265:	   Getting used to it. Wanted to combine all my emails accounts into one app. And just run one service. Had 1 minor issue which I resolved using the online help. I would like to rename and reorder folders. E.g first folder "[GMAIL]/BIN (Trash)" That is the last folder I want to see and to have the displayname of "BIN" 
com.fsck.k9#51269:	   Same old K9, problems every tuime when you send mails. Certificate issues continued ! 
com.fsck.k9#51270:	   My email on phone failed so Verizon had me download this one. It works good but I would much rather have my original email 
com.fsck.k9#51277:	  It's not working.. I need support please 
com.fsck.k9#51279:	   Best mail client for advanced users stable, powerful and customizable. Opensource is a plus. The interface is not evolving much. My biggest complaint: battery drain significantly increased in the latest update. It might not be related to K-9. Mail server issue? I did not change my settings. 
com.fsck.k9#51290:	   Now doesn't work. Doesnt consistently sync & I get 3 copies of the same email when it does sync 
com.fsck.k9#51293:	  K-9 still has some basic issues. I found an email in my sent folder that I was looking for. No problem. Later in the day, it (and a few others) were suddenly gone from the sent folder even though it is in the sent folder when viewed from my desktop client. 
com.fsck.k9#51294:	  Works ok. Couldn't get one of 3 gmail accounts to work on it though. No idea why. 
com.fsck.k9#51300:	   I have used K-9 for a number of years. It previously worked wonderfully. However, it now constantly freezes and crashes. Displaying a single email can regularly take 30 seconds. I would dearly love to see this wonderful app updated to resolve these problems. Running on Note 4, latest stock Verizon Android version. 
com.fsck.k9#51301:	   I am unable to authenticate any of my email accounts. It gives me the error that my password is incorrect, but my password is perfectly fine verified it on another app. Not sure why this is going on but hopefully there's a fix soon. 
com.fsck.k9#51303:	   battery reports 15%battery usage ,ouch! Tried limiting connection time to no avail. K9 remainsin memory when exciting, not good. I understand services still run, but program should not be in memory when properly exciting. I get a ton of k-9 errors regularly. It needs a serious maintenance update. Is anyone else having any issues? Time to move on. no dev support what so ever for theadapp. No support. No updates.gone to k-@mail worksgreat! Lowbattery usage! Aqua mail looksgoodtoo, but like getK-@  
com.fsck.k9#51310:	   For private email clients I have found no better app. No ads, no useless junk. I have used this app since I have had a smart phone. Tried others for different reasons always come back. 
com.fsck.k9#51319:	   The email supposed contain a pdf file, however it shown as winmail.dat any ideas how to fix it? 
com.fsck.k9#51320:	   Is there a way to retrieve my onion mail with this. Tried sending through orbot but errors server not available 
com.fsck.k9#51321:	   I like this a lot. I need a combined inbox for several email accounts. May be Yahoo, may be K-9, but I haven't worked out yet how to stop getting emails from Yahoo saying I have had an unauthorised login attempt. 
com.fsck.k9#51322:	   K-9 has been good so far. The last few days went I go into the k-9 it closes me out. Not sure why, figure someone can check into to this issue. 
com.fsck.k9#51326:	   This App keeps deleting my Emails and giving me errors. 
com.fsck.k9#51327:	  EDIT: Privacy/security leak will be fixed with next major update. Privacy/security risk: K-9 honours meta-refresh and will open browser links directly upon opening a mail which uses them. That is VERY bad. Other than that, it is very user un-friendly, ugly and doesn't work all too good. Still, it is one of the few non-cloud based email clients, which is very sad. 
com.fsck.k9#51343:	   Unable to fetch mail on Samsung Note 4 for Nexus 7 for the longest time now I force shut the application like I used to when changing a fetching time but that doesn't work anymore either to fetch the mail on an interval 
com.fsck.k9#51344:	  Expunge doesn't work. Deleted and expunged files come right back to the inbox on the next poll. 
com.fsck.k9#51346:	   im a blind  user. and i use talkback on my android phone. i found unlabled buttuns i dont know what the buttuns are can this problam get fix 
com.fsck.k9#51348:	   Won't deliver mail to addresses in Bcc and Cc 
com.fsck.k9#51351:	   If it worked, it'd be the best. Plean to of blogs on line to help with all the folder syncing issues. But never did access any folders except Inbox. (Yahoo email address) 
com.fsck.k9#51353:	   It's an amazing mailer giving you full control over your email handling. I think other commentators can hardly blame k9mail for their technical issues; sometimes "bad" mail providers just don't enable all features. and it's definitely possible to get lost in the extensive settings that are individual per added account. I use 4 accounts and I am very satisfied. 
com.fsck.k9#51357:	   Uninstalled it. Got mostly errors, cant send pictures ifbi have more then 1 attached. Not worth the download. 
com.fsck.k9#51358:	   Great app that gets the job done. Was having issues with the official outlook app. Used it in the past and knew it was the right solution to my problems 
com.fsck.k9#51359:	   Stopped working on both our phones. No amount of effort could fix it. Finally downloaded another app 
com.fsck.k9#51369:	   Been using this app for years. Great email app until Zimbra email upgraded it's security feature. Doesn't work after that 
com.fsck.k9#51370:	  Won't work with aol 
com.fsck.k9#51372:	   Loved the software until I changed my email password, then I've had nothing but problems. 
com.fsck.k9#51377:	   When I receive a mail I get a double notification, it says that I got two mails. Opening the app just shows one mail and I only have one account. This account is set with webdav/owa. I tried deleting the app data and reconfiguring the account but the double mail notifications still appear. Also more often than not, the app stops synchronizing for no apparent reason. It says "next synch at xx" but when the time comes no action is done. 
com.fsck.k9#51381:	   when ever I entered account information and click on submit then it shows error message and it shows Google services Has stopped, same thing I do in Gmail it opens 
com.fsck.k9#51384:	   I could not find a better one. Only the widget is useless. From the size compared to the standard size of other icons it looks like a bad joke on my Samsung Tab S. 
com.fsck.k9#51394:	  The best POP/SMTP mail client, of those I've tried, available from Play Store. Four issues short of a 5-start rating: 1. The too-frequent 'crash and die' failures. 2. No indication of which account I'm dealing with when in any of the settings pages. Perhaps the account name beside the page title [Settings - nsaportal@gmail.con] would be a solution. 3. No spelling checker (please start with en-gb ;-). 4. The 'Unread messages' indicator shown on the widget selector, doesn't exist. However, these minor 'niggles' won't stop me using K-9 or send me out in search of a replacement. Big-ups to the developers; excellent work! Is this project still in development or are these issues never going to be addressed? 
com.fsck.k9#51399:	   I've used k9 for years. I've connected all 6 of my email accounts. I've managed an email/web server for the past 21 years. This was the best I've used. However I'm on Nexus devices only now so I get the latest & greatest updates when they become available. It's been three months now and the certificate issues I only see with k9 are not fixed. So even though my overall rating should be five stars, I'm uninstalling and dropping my rating. Besides, the gmail app now does much of what I used k9 for so... 
com.fsck.k9#51400:	   Forwarding attachments fails frequently and old emails keep showing up as "new" at the bottom of the list. 
com.fsck.k9#51401:	   Constant AUTH PLAIN failed when sending. K9 also has a bug where it can partially download a message, just partial headers and then can never get the whole message, the email then appears to be corrupted and listed as 'no subject', and nothing will bring it back. Also, related... k9 can't retrieve attachments over phone data these days. Only WiFi. Needs fix. Gone crap. 
com.fsck.k9#51403:	  Wouldn't sync my Gmail without 'allowing less secure apps' in Google account settings, which I didn't like. However the Gmail app is now so bloated and slow on my phone that I had to find an alternative and, apart from the security concern, this seems to work faster. 
com.fsck.k9#51404:	   I have been quite happy with this app. However, recently I have been facing a problem. Though I have set the download mail size to be only 32kb, I have been receiving mails with the entire size of attachments, even beyond 32kb. This has led to an increase of my data charges exponentially!!! 
com.fsck.k9#51410:	   If you are looking for a mail app that does everything and I mean everything that a full blown desktop mail app can do then look no further. I especially needed an app that gave me the ability to create identities on accounts and to set a "reply to" address on an account and K9 came to the rescue. There are so many advanced settings it is clear that the author wrote this due to not finding anything out there that could do what he wanted. Highly recommended mail app. Also works 100% on a Blackberry Z10. 
com.fsck.k9#51411:	  No support, can't get it running 
com.fsck.k9#51414:	   Was a long long time user of K9. Never really failed me until recently. Decided to try another App for awhile so deleted my email accounts, cleared the data file & stopped the program in App settings so it wouldn't be using data. Noticed my mobile was transmiting data a long time, checked & K9 had transmited more than 630MB of what I don't know. I ran virus scans to no avail so have uninstalled. 
com.fsck.k9#51417:	   I love all of the app. Especially read receipt for my work emails. The problem is that it doesn't sync anymore. I have tried everything short of reinstalling it. Edit: tried reinstalling it, no change. 
com.fsck.k9#51419:	   Messages Won't auto load. I have to refresh the app in order to receive new emails. I thought that this problem was solved in the 1990's! 
com.fsck.k9#51423:	   Any email I try to add results in this error popping up. This is my go to email client. Please fix this. Only happens on my Moto X running Lollipop. 
com.fsck.k9#51435:	   Could not open or print PDF attachment message said document my be corrupt I tried it on my mail app and it printed without receiving any message that the document may be corrupt 
com.fsck.k9#51457:	   my preferrered mail client for android. behaves nicely, very flexible, doesn't get in the way, snoop or come sneaking back when told to go away, unlike the vendor email & gmail clients. unfotunately it has decided to set a default account on it's own recently, overriding my long standing preference and ignoring changes. this has caused problems that cannot be fixed. i don't know why it's been changed to do that but i want it to heed my preference. 
com.fsck.k9#51460:	   Too many certificate errors when my signal is intermittent taking up the one bulb I have for notifications. 
com.fsck.k9#51463:	   The setting to always delete from server when I delete doesn't stay set in Android 5.1.1. .. And you make it too hard too report bugs via that web site. Sorry. 
com.fsck.k9#51469:	   Didn't work for gmail. 
com.fsck.k9#51475:	   Like the app. I appreciate the fact that I can batch delete all messages. I can't find where to change my signature. 
com.fsck.k9#51477:	  Could not get it started, so deleted it. 
com.fsck.k9#51478:	   At long last, after a nearly two year wait, something finally got fixed and my GoDaddy IMAP account is working properly again. Just in time, since I was getting sick of the Android built-in app, and its shortcomings. 
com.fsck.k9#51481:	   Incoming mail is working but outgoing isn't. Keeps saying invalid name or password... which I have correct. Even changed my password to see if the reset would create different results. Seems like a chill app... disappointed it won't work for me 
com.fsck.k9#51483:	   Works fine most of the time but, apparently by faulty design, gets stuck in loops when something doesn't go it's way. One example is a failed send. It will try forever to get the message sent that results in persistent notifications with a rapid blinking notification light that eats battery. The message is no longer in the out box so there's no way to stop it. There's also no setting for disabling that notification. The only resolution is to disable or uninstall the app. 
com.fsck.k9#51491:	   Sky have clearly changed something as now keeps saying Certificate Error so until it starts working I have to give it a lower rating. The same has happened to another app on another family phone 
