com.ichi2.anki#170004:	  Someday After updating the Anki crashed 
com.ichi2.anki#171427:	   I'm not sure if anyone else gets the same issue but 1 day after installing the app and uploadin some flashcards, the audio recordings were gone and the app doesn't let me to add audio recordings to the flashcard (recording the audio deletes the text and the audio on the card doesn't play during study). The audio played no problem the 1st day. I spent time trying to change different settings but couldn't make it work. 
com.ichi2.anki#171435:	  I can't sync because my clock is 8,000 seconds off. Are you f***ING kidding me. I thought this was a good app to study but I ended up wasting my valuable time to make 50 cards for an exam in 3 days. Your app sucks. 
com.ichi2.anki#171436:	  The desktop version has a bug when removing the note types. I'd better find a finer tool. 
com.ichi2.anki#171452:	   I was using the app for a month or so, composing over 100 cards until the app just quit one day. I tried uninstalling and redownloading, but I just get the same error message. Use a more reliable system, or risk losing all your work. 
com.ichi2.anki#171467:	   I haven't used AnkiDroid for a long time. Now I install again. I synced with my account. Then there's no sound in my AnkiDroid. Help me, please! 
com.ichi2.anki#171472:	   But I have one problem with it: GIF playback. Some of my decks have animated GIFs, and I can see them on the PC version of Anki, but I can't see them on the Android version! I would give this app 5 stars if this wasn't happening. Please fix this issue asap! 
com.ichi2.anki#171477:	   Perfect other than the colour picker missing (unless I can't find it xD) since I tend to colour code my Japanese verbs on which verb group they conjugate under, I can't actually create cards half the time on my tablet :( 
com.ichi2.anki#171483:	   Closes immediately after clicking. Says AnkiDroid encountered a problem. Please fix this. I really need to review. 
com.ichi2.anki#171490:	  the latest version crash on me! 
com.ichi2.anki#171500:	   I've lost my entire collection about nine times by now, losing anywhere from days to months worth of progress. Don't get invested in this app, it will only break your heart 
com.ichi2.anki#171502:	  Memory requirements are insane. Crashes on big dictionary import. 
com.ichi2.anki#171503:	   Nice app just some problem for use picture from the gallery. Hope you can fix that :) 
com.ichi2.anki#171505:	   There really needs to be some kind of tutorial. It took me ten minutes to figure out how to add cards to a deck. There doesn't appear to be a way to edit or delete cards if you make a mistake. I don't get ask these rules/options either. Why would you want to limit how many times you can study? I don't know what "options group" means. This is a really strangely designed app that maybe could be good of I knew what the heck was going on. Uninstall. 
com.ichi2.anki#171514:	   Even though it has some rough edges (eg it keeps crashing when increasing today's new card limit), I am amazed by the power of this app. I've been learning swedish for barely 3 weeks in spare moments (queues, bus rides and so on) and I know more than 300 words already! Basic no-frills design that gets the job done beautifully. Gotta love open source! 
com.ichi2.anki#171517:	   But be prepared to decipher what is part of the learning curve to use the program and what is just a bug. Support -- though merely volunteers -- is lacking. Some will understand the program and some won't. I guess that's one way of doing it. 
com.ichi2.anki#171537:	   I couldn't get vocab decks - or any decks at all - through the app. 
com.ichi2.anki#171555:	   Used with Anki on my PC. Recent updates have ironed out a few minor issues with syncing. Currently 13,000 cards in one deck with no performance issues. Recommended 
com.ichi2.anki#171557:	   This is an amazing app, it makes learning kanji so easy. But there is one problem. I can not delete decks or single cards, I'm not sure if deleting cards is an option but deleting a deck is. But I still will not let me do it. Please fix this. 
com.ichi2.anki#171559:	   Previously I had given 5 star but now 3 for one simple issue. The reviewed cards tend to become INFECTED!.infected cards turn itself INVISIBLE during review.its like reviewing EMPTY cards.In anki's last update,this issue was fixed but now it is recurring.Plz fix this quickly. Except this everything is UBER! 
com.ichi2.anki#171563:	   It has some bugs but as it's free i have to say it's much better than other similars like keep in head or jmemorize 
com.ichi2.anki#171564:	  This app sucks you can't get cards I would rate a zero if I could!!!!!!!!!!! 
com.ichi2.anki#171568:	   Ever since the latest or one of the latest versions, the number of new cards and to be reviewed cards will sometimes seemingly randomly get reset while doing my reviews (usually somewhere near the end...). This is a very frustrating bug. Please fix it. Otherwise, great app. 
com.ichi2.anki#171569:	   The app is very useful to me, but please, make it autosync at some interval, or after every study session, or when you exit it. I didn't know I have to manually sync it every time, so when I open my laptop app, it doesn't know what I have studied and if I continue, I not only waste time, but probably risk loosing data or crashing the spacing algorithm 
com.ichi2.anki#171574:	   Systematic memorization so you don't forget the essential details 
com.ichi2.anki#171578:	   Will change when fixed. 
com.ichi2.anki#171581:	   Its too complicated, the ui is not helpful at all. And you can't synchronize your cards with PC. There is no login option on the PC version 
com.ichi2.anki#171585:	   This app seriously rocks! You learn stuff without making an effort! I have been using this app almost for a year now and update after update the features get better, for example, i love the whiteboard feature they have just added. It used to crash before a couple of times a week, but now it works like magic on my cellphone. 
com.ichi2.anki#171588:	   Doesn't work. Added items couldn't find! 
com.ichi2.anki#171600:	   Useful, powerful, flexible, efficient, and a must have tool. I study any chance I have with it, a minute here and there. filtered decks, custom note types, easy content manipulation, make this an ideal and important tool to have. Bugs! It's also important that it can do its job. Some android versions, html rendering crashes after 50 cards, the old version is not allowed to synchronize, the new version has modal dialogs for error reporting and synchronization progress which are invisible... 
com.ichi2.anki#171601:	   I decided to use Anki since my friend suggested it. But I couldnt download it for my Galaxy Tab 3. Hope you guys can help to fix 
com.ichi2.anki#171604:	   Repeating is not works ??? 
com.ichi2.anki#171605:	   Spent hours making cards and for what? For it to crash EVERY single time I try and study them! Time to go to quizlet! 
com.ichi2.anki#171610:	   Have had problems but a very good app! Perfect for learning languages 
com.ichi2.anki#171646:	   Crashed whenever I tried to login 
com.ichi2.anki#171651:	  Cloze overlapping doesn't work. Update: issue 2329. 
com.ichi2.anki#171663:	   The program is magnificent! The great job guys! BUT there has been a problem with synchronisation since the last version. When I revise sth on mobile, then sync, correct sth on the computer, sync, and want to sync it on mobile, some error occurs and I have to revise again. Please repair it asap. Best regards. 
com.ichi2.anki#171675:	   Allows me to study anki wherever I go, since I'm not always near my computer. Doesn't seem to have many bugs either! 
com.ichi2.anki#171685:	   I use this app all days, for the last 3 years. It has a few bugs, but it is helping me learn lots of stuff. 
com.ichi2.anki#171695:	   New version has some bug. Whenever a card contain a photo, there is no audio or text includes. When I click "show answer" there is also nothing appearing. Please fix it. 
com.ichi2.anki#171697:	   With the latest update, audio recording on flash cards stop working. Looks like the audio files are not saved. 
com.ichi2.anki#171698:	   I love the look and feel of this app, low rating because pictures will not show up on the cards on my galaxy s4:/ will change when fixed 
com.ichi2.anki#171702:	   The bug I had reported in my previous review regarding images breaking cards was noticed and patched in the latest beta on github. Great software and developers. 
com.ichi2.anki#171707:	  Audio does not work 
com.ichi2.anki#171724:	   cannot get decks, just failed 
com.ichi2.anki#171731:	   Would not read my question or save it uggg do not get 
com.ichi2.anki#171744:	   I wanted to export my entire collection, including my review history so that I can import it to my desktop but unfortunately I can't find the Export menu. I'm using AnkiDroid version 2.2.3. 
com.ichi2.anki#171758:	   Searching for shared decks just got really irritating. It resizes everything so you can't read and if you rotate your phone you have to start all over. Please fix this. 
com.ichi2.anki#171764:	   Keep getting java.lang.RuntimeException FileNotFoundException: /storage/emulated/0/AnkiDroid/tmpSyncServer.zip: open failed: ENOENT (No such file or directory) error when trying to sync with Anki on my mac? 
com.ichi2.anki#171781:	   It has been a very useful tool for me as I'm learning new English vocabulary everyday and all the time. The bad thing is that it suddenly disappeared from my phone, I couldn't understand why! And because of an error "-110" I can't install it again. 
com.ichi2.anki#171799:	   EDIT:  app for anki, which is the best way to memorise anything. Still not a 'pretty' app, but looks a lot nicer since the most recent update. Couldn't find the bury card function but developer helpfully explained where this had disappeared to (under the dismiss card button) - thanks! PREV REVIEW: Functionality seems to have been lost in recent update - how do you bury a card now? 
com.ichi2.anki#171813:	   Never crashes, does what it sets out to do. 
com.ichi2.anki#171817:	   I can't download media on my cards. Also the app claims to download heaps of data when I know that I have hardly any cards 
com.ichi2.anki#171838:	   Don't get this if you are not planning on getting the (also free) desktop app. This app is for people who really want to push their learning further. There are very few features which Anki does not have, though it may take a while to figure out how to use them to their fullest potential. The investment is absolutely 100 percent worth it! This program is built for those who wish to be excellent students, and to retain information long after the exam is finished. 
com.ichi2.anki#171845:	   The app wants me to "cloze" something but I don't want to . Fix it then I will rate 5 stars 
com.ichi2.anki#171853:	   It's a good app but its been crashing alot lately while im simply trying to review notecards 
com.ichi2.anki#171871:	   It works! I've been using AnkiDroid for a psychopathology course in which I have to memorize huge amounts of diagnostic criteria, and it's helping a ton. I haven't run into any bugs, the synchronization is fast and easy so I can enter the flashcards on my laptop but also review them on my phone. I'd appreciate a more straightforward way to run it in "cram mode" (review everything, regardless of the memory-aiding algorithm), but it's a quick workaround on the user's end. Thanks for making a great, quality product with no ads! 
com.ichi2.anki#171881:	   Great idea and almost flawless app. Only some occasional sync problems. 
com.ichi2.anki#171888:	   This used to be my favorite app. Its very useful for studying. Now every card I add says edit this note. I spent two hours making these cards and when I went to study them, I couldn't because they all said edit this note. I have never had this problem with a flashcard app before. It's my flashcards and I wrote everything how I wanted to. I don't see why I would have to edit anything to study. 
com.ichi2.anki#171895:	  Great app! Be sure to verify any public decks for accuracy. Found an error in the multiplication facts deck. 
com.ichi2.anki#171901:	   The application is very useful. However, it has one annoying bug, which should be removed - if a part of word (let's say in target language) is marked in other colour, this word cannot be found using search method, because the part of word marked in other colour is not visible. 
com.ichi2.anki#171903:	   I like the new interface and the dampening of background music is a very nice added feature. However, the new "Finding changed media" is very inefficient. It now takes 5 minutes to perform a sync even when nothing has changed. Until now, I had no major issues. 
com.ichi2.anki#171911:	   Hi. I had an technical issue when after updating the app. If anyone has the same issue- maybe my small 'guide' can help My JPEG images in cards have shrunk. How did I solve the problem? Went to SETTINGS, then to advanced, then checked off SIMPLE INTERFACE and all was o.k. 
com.ichi2.anki#171914:	   Wouldn't let me paste words when am editing an already saved flash card. Crashed when I wanted to insert media. Deletes all what I typed in during flash card creation when I minimize app. Might have to try other flash cards 
com.ichi2.anki#171922:	   Anki crashes on Sony Xperia E1 when trying to create a new deck and a message about "SD card not mounted" appears. 
com.ichi2.anki#171923:	   With this open source app you can learn anything which could broken down to small pieces of information very effectively. I also use open source GoldenDic app which work greatly with Ankidroid. Not to mention there is a great responsive support team which respond promptly on your problems. Thanks to Ankidroid team for their job. 
com.ichi2.anki#171944:	   Hello. When anki 2 was introduced there was some kind of heated debate about the fact that all the media files are stocked in one folder. It is quite problematic for anki power users, since most of our decks consist of many more sounds then just 15-17 thousand that fat32 can fit in. Is there any progress on somehow resolving this issue (for example keeping all the media files in a zip file? 
com.ichi2.anki#171947:	   Please do something about the the image addition thing.It isn't working.Other apps I've checked out have no issues with this.When this is done, then it's straight to 5 star rating. 
com.ichi2.anki#171954:	  Won't work with Nexus 7 
com.ichi2.anki#171960:	   Will not synchonise with note 10 2014 
com.ichi2.anki#171967:	   New cards are still created always in the first (wrong) deck and not in the selected one. Pls fix! Otherwise very useful app. 
com.ichi2.anki#171969:	   While some of the changes are refreshing, there are some brand new problems. The placement of the undo button is now inconvenient and the removal of the swap button was unnecessary. In addition, add no longer remembers your tags from the last time. Finally, 'Add' and 'Close' have been swapped round. They are now completely contrary to expectations (even if Add is now closer to the thumb). 
com.ichi2.anki#171996:	   You Sir/madam, are a hero. Really, the updates made this app usable for me. Edit: Just did an intensive play with the TTS, posted on Google codes just now, it's working but with bugs... But the instant add/save data doesn't work for me! (using golden dict). Also couldn't manage to activate look up(for golden dict), haha. 
com.ichi2.anki#172005:	   Upping my review from two to four stars after the recent bug fix release. Excellent app for learning languages. 
com.ichi2.anki#172013:	   It was a total blessing until a bunch of my cards didn't work. 
com.ichi2.anki#172018:	   this app constantly crashes! fix the latest version! 
com.ichi2.anki#172021:	   Does the job perfectly. Absolutely no stability issues so far. 
com.ichi2.anki#172026:	   I love anki and use it all the time on my desktop, but the mobel version is a huge failure. I cant sync my decks because I keep getting bogus errors that there isnt enough room on my device when I have 6 free GB. Further I cant manually delete said decks because the app crashes during the delete. When it works it is great, but unfortunatly it doesnt work more than it does. And no ammount of deleting the app and its dats helps. 
com.ichi2.anki#172056:	   I use Anki on my laptop. Love the software! When I first got the app, it would always crash on me when I undo and now seems to be fine. The app allows you to sync to AnkiWeb so you can keep your progress on the cloud. I'm having some issues with sync from my Nexus to the cloud though. I'm forced to overwrite my progress from Android to cloud whenever I try to sync. 
com.ichi2.anki#172057:	   The sounds don't work. I have a moto x. How can I fix the sounds? 
com.ichi2.anki#172059:	  The very existence of this app being free is 5 stars. I am stilk not used to Anki, but I will be soon! 
com.ichi2.anki#172064:	   I love Anki and have been using it on my Mac for awhile, so I was really excited to find an app on my phone for it, but every time I open the app it immediately crashes =( I have an evo 4G. Please let me know if anyone else has this problem. 
com.ichi2.anki#172067:	   Awful. Crashes after 10 mins of studying. But the worst part is that it reset the counter for 'new' words so you're constantly getting new words like it was a brand new day after every crash. I wasted so much time before I realized it. I should've known not to trust a third party app. 
com.ichi2.anki#172073:	   I use this all the time for school to memorize Japanese, and it's gotten to the point where I've made over a thousand cards myself. I wanted to just study from one of the pre-made shared decks, but Anki just can't handle the sheet amount of cards. Although Anki is very good once you figure out how to use it, the Android version is lacking in that you can't have large decks or the app will crash. Is there any way you guys can fix this problem? 
com.ichi2.anki#172079:	   The app doesn't open. 
com.ichi2.anki#172087:	   I am a medical student preparing for USMLE and i use this program more than all other apps together. But, I think the app lacks some features, like: 1- Some times I need to exclude some decks from the search process, but this feature is not there. 2- I cant "multi select" items in the search list, as sometimes i need to delete many cards, and takes alot!!! of time to do it. 3- Seems perfect if it is enabled to merge decks. These are the major problems I faced. If they've been solved, I'll be very good.. 
com.ichi2.anki#172091:	  The one and only flashcard app, highly recommended. Note: Ankidroid on Android 4.4 cannot show custom fonts, requesting a bug fix 
com.ichi2.anki#172093:	  App is great but crashes and makes my phone to reboot... 
com.ichi2.anki#172097:	  I like the idea of the app, but there are so many issues. If you get it right twice you have to wait a day to review the word again. So I tried saying I got all them wrong so I could review then whenever I wanted. After you get more than one wrong it will just constantly go back to the words you got wrong; preventing you from practicing other. It also goes in the order that they were added. So as I'm reviewing them more and more, because of memory I can see one word and know what the next word will be. 
com.ichi2.anki#172105:	   A very good app for learning. Only one thing to complain: media files (mp3, images) are not removed when I delete decks. That costs storage of my SD card. 
com.ichi2.anki#172106:	   I love Anki and use it to study Chinese. However, in the last few days Anki has decided to invert the colour scheme as soon as I start a study session, which is troublesome because I use colour as a memory aid. Fix this, and it's five stars! Edit 19/05 - Thanks for the quick response, five stars it is! 
com.ichi2.anki#172108:	   Dear Anki team, The pinch and zoom doesn't work at all. I've tried this on other devices and they also don't work. I'm currently running 4.2 with latest Anki. Hope this can get fixed asap. Thanks. 
com.ichi2.anki#172110:	   One bug. I have a note with two fields. Both use a cloze set to 1 like this. F1={{c1:foo}} and F2={{c1:bar}}. The windows app is OK with this and shows both as {{...}}. This version only shows the first correct. The second is broken. Still a 5 star app for anyone considering the download. 
com.ichi2.anki#172119:	    generally but there are issues as well. Links such as the shared deck page and just signing in to review a deck don't work. The website is so simple that it's useless. I also can't delete a deck or choose to make decks dormant. The custom study doesn't work or perhaps none of the decks are tagged. And finally, between the website and the app, it feels like there is a massive community using this that i am unable to access. 
com.ichi2.anki#172122:	   First, I want to thank for your great app. It makes and keeps my brain perfect with words until I get all them right. However, I could just spend enough time on it for the first month. When words built up abundant, I just had time to review the very previous words and couldn't learn the new added words. That's because I didn't get the previous words right in a few attempts; then it turned to have short cycle of reviewing like new added words. I hope I can create separate decks of different days/topics.Then 
com.ichi2.anki#172124:	   Title says it all... Update: after the update hebrew fonts are no lobger supported unless you turn on vowel points. Even if you copy fonts to the media folder it does not work. I let them know about this issue. 
com.ichi2.anki#172126:	   The app crashes every time I try to edit a card while I'm studying it. 
com.ichi2.anki#172129:	   Love it! Previous issue with card creation got fixed, thanks! 
com.ichi2.anki#172137:	   , confusing, back up deck does not import into the app once accidentally deleted. Won't sync decks to my account. Not worth the hassle. 
com.ichi2.anki#172139:	   This app is great, but one problem is very prominent. When I use android dark theme with night mode, the background becomes white after I answer one question and before the next card is loaded. It would be better if the intervening screen it's black or off other dark colours. * This problem appears to be fixed. 
com.ichi2.anki#172147:	   I use this app every day. I am a big fan of the desktop version and was excited to find this mobile app. I love how easy it is to make my own decks and find this really helps in the learning process (vs using premade decks that often contain errors). The mobile cards look and work well and I have no complaints. 
com.ichi2.anki#172156:	   Working good, finally. I am getting the occasional crash but a sensible backup strategy makes this easy to bear. I don't like the sync function though as it's very slow here in China, especially if you are trying to sync your entire media collection. I explored different ways to sync over USB, most of them causing AnkiDroid to crash for no apparent reason. At the time of this review Google have decided (very stupidly) to remove the USB Mass Storage file transfer protocol in favour of MTP, which is huge pile of odorous excrement. My plan was to use BeyondCompare (a folder comparison tool for Windows) to sync my Anki media. This is not possible with MTP, which forces you to use Anki's built-in sync function. Then I tried several USB Mass Storage enabling apps, some of which worked but AnkiDroid was crashing all the time. All the problems seemed to go away after I installed the latest version of BusyBox and and app called SG USB Mass Storage Enabler. Now I am able to manage my collection from my PC and I am very happy with the results. I hope Google consider re-adding USB Mass Storage mode though. MTP is retarded. 
com.ichi2.anki#172165:	  One star till they fix downloading decks 
com.ichi2.anki#172175:	   After downloading around 12%, it shows an error, INVALID DOWNLOAD URL. Dnt knw why... 
com.ichi2.anki#172176:	  Crashes when opening cards with embedded images. 
com.ichi2.anki#172177:	  Doesn't open on S3 LTE with the last two updates. 
com.ichi2.anki#172213:	  Great app, but the latest update made italics on cards stop working. 
com.ichi2.anki#172228:	   It took a long time to fix this bug, but now everything works perfectly. Great! 
com.ichi2.anki#172231:	  App does not work with a Nook HD in its unrooted state. All I did was to install the app and start it. It just quit saying, 'Unfortunately the app stopped,' or something to that effect. Uninstall, reboot, reintall did not fix the issue. 
com.ichi2.anki#172238:	  I love this! Will now not fail my AP U.S. History test~nHowever, I wish there were instructions - I still haven't figured out how to add decks. 
com.ichi2.anki#172240:	   I had an issue with my install. Freak accident and heard back within 24 hours. Now couldnt be hapier with the product. 
com.ichi2.anki#172256:	   I've been having trouble with the majority of my custom cards telling me to edit them and add cloze notations. They are not the sort of flash cards that need this, so I don't know if I messed up in the making or if the program is giving me issues. I can't fix the issue without deleting and redoing all the messed up cards, which is a huge waste of time I don't have. 
com.ichi2.anki#172262:	   Very good features for study. But start, opening cards, and syncing are slow. At times, it causes the system to crash entirely on Android 4.2.2. Hope these can be fixed. 
com.ichi2.anki#172272:	   Couldn't register for an account l kept getting an error message therefore I couldn't sync my flaschcards.....waste of time. Unistalling 
com.ichi2.anki#172278:	   It sometimes crashes when I open it. Not a big deal. Otherwise great app! 
com.ichi2.anki#172301:	   Hi. I love this app and Im hoping to use it again. Recently, my app won't work because I have less than 10mb on my SD card. However, I don't have a SD card for my phone. I am pretty annoyed the fact that I have to buy a SD card just to start this app program. Are there any way for me to fix this problem? 
com.ichi2.anki#172303:	   Features sound great but the app constantly crashes. I created a new deck but it won't let me create any cards before it crashes! Totally useless. 
com.ichi2.anki#172318:	   Excellent application. Only problem is that I tend to use the cram feature more than the default one. Another complaint is the lack of auto rotation when flipping through cards. Still a great application that has no advertisements and is very handy. The synchronization function is a life saver. 
com.ichi2.anki#172324:	   Fixed, effectively 
com.ichi2.anki#172328:	   There seems to be a problem with tags, one you create them their name cannot be changed and you cannot delete them either 
com.ichi2.anki#172331:	   I've used anki and ankidroid for a long time. After a recent update it crashes on both phones after a couple of cards. 
com.ichi2.anki#172336:	   This app works great and very useful! The only minor problem I have encountered is with the zoom on screen icons. When the zoom option is checked, the zoom icons sometimes cover the written text. It is better to make those icons invisible unless you touch the screen, or just cancel them, as pinch works fine with zooming. 
com.ichi2.anki#172341:	  Good and helpful app to memorize things. But crashes every time I want to review earlier and open the setting. I'd give one more star if that can be fixed. Great app overall. 
com.ichi2.anki#172349:	   Since the previous update the night mode is not working properly anymore. Black background is changing to white in between cards. 
com.ichi2.anki#172360:	   The best app ever, absolutely essential for me. But the last update broke the zoom feature & I used to have images fit to the width of the screen when on landscape Mode, but now it stays at the same size regardless of orientation. ... Please solve those issues as the images have text that isn't readable on GS4 unless zoomed in. 
com.ichi2.anki#172394:	   Cumbersome, unintuitive, and dull. Inserting picture is displayed in the preview images but can't find actual option. Over complicated. 
com.ichi2.anki#172422:	   I had a problem with my deck, I lost it. I contacted Ankidroid, and they responded immediately. I didn't respond immediately, they followed up. In answering their questions about my problem, I figured it out. Love, love, love. Somehow, the flashcards seem to only appear in a way that I actually learn them, even though I put in a couple hundred at once. Again, love, love, love! 
com.ichi2.anki#172436:	   has some problems. And I don't understand how to set number of steps. I want only two lowest steps. 
com.ichi2.anki#172447:	   The desktop app is very good, but this mobile app crashes on image heavy cards. I have sent an automatically generated error report on this. 
com.ichi2.anki#172449:	   Have been using this program for years as my mainstay for learning. Problem with this latest ankidroid update in that you cannot zoom into pictures properly. 
com.ichi2.anki#172454:	   Makes it easier to learn Japanese. After the last update it worked like magic. Thanks for quick fix! 
com.ichi2.anki#172461:	   Getting more crashes and errors with the latest version. I'm unable to sync now. 
com.ichi2.anki#172462:	   Worked fine before (only 1 crash in many weeks), now I get "opening collection" after 5-10 cards. Terribly annoying. 
com.ichi2.anki#172467:	   I'm DONE with this program. For one, it doesn't allow cramming. When you finish a deck, you have FINISHED that deck for the day. I couldn't figure out how to reset it to let me study the words again. Which brings me to two, the program is unnecessary complicated. I used sticky kanji to study for the JLPT and while I couldn't make my own flashcards, I didn't need to read anything to start using it. It just worked. Finally, the last straw. I go to make a deck for my final exam and it tells me my entries are in other decks. I can't have duplicates. It's okay, Anki, I want doubles, this is my compilation deck. No? YOU WON'T ALLOW ME? What kind of programmer make s program that won't let me use it? I am not going to search for and move my old cards. Oh and that option to try to keep pairs apart from one another? Doesn't work very well at all. I'm just really annoyed right now. 
com.ichi2.anki#172487:	   If it takes me more than a few minutes to figure out how to randomize flashcards in a FLASHCARD APP and I have to google it there's a basic failure in the intention of what one uses flashcards for 
com.ichi2.anki#172496:	   Unknown error during application installation error 919...:-( 
com.ichi2.anki#172500:	   I am using the app since nearly one year to learn Slovak. I am syncing to the web mainly for backup reasons. Never had a problem. Have more than a thousand cards and have improved my vocabulary significantly. My teacher is also very happy. :) great app. Thanks. 
com.ichi2.anki#172506:	   I'm so sad. After downloading the new version of this app, I can no longer study as much as I used to. I really enjoyed AnkiDroid while it was working. I used it everyday, and it really helped me to keep up with my studies. But for some reason, this new version doesn't work for me. Every time I open up a deck, the screen goes blank for about a minute, then it shuts down.  I really hope someone can help me to get this app working again before finals! 
com.ichi2.anki#172507:	   Extremely disappointed in this app. Keeps crashing! 
com.ichi2.anki#172518:	   That it can sync with the PC version is awesome! I've only used version 2 and higher and have never had any sync issues, crashes or freeze ups. The interface could use a little overhaul. The only trouble I'm having is that new notes/cards are added to the first deck I ever created and not the deck select. I use Ankidroid to increase my Japanese vocabulary. Check out Anki Aniki for the best Android app for learning kanji! 
com.ichi2.anki#172522:	   Won't sync to ankiweb from pc or Android. Was working well and really useful. Now, nothing. It either says times out or gives error message. What now.... 
com.ichi2.anki#172523:	   All the reviewing power of the desktop program with a super polished Android interface! Works beautifully for learning Japanese, and the home screen widget makes sure you don't forget to study everyday. 
com.ichi2.anki#172533:	   Couldn't find reset progress option. Can I do this without PC? 
com.ichi2.anki#172546:	   I was able to add cards to the decks, but now I'm unable to even view the cards, let alone study. Please fix this issue. Samsung Galaxy Tab 3 7.0 
com.ichi2.anki#172552:	   I can not sync from mob to ankiweb but can receive from ankiweb . cellphone model is : Xperia SL 
com.ichi2.anki#172567:	   This program is marvelous, especially when used in tandem with the desktop app. I can make cards with [$]CONTENT[/$] in them on my laptop and it shows up fine. But I can't get cards with [LATEX]CONTENT[/LATEX] to show up on my phone, even though it shows up on ankiweb and on my arch Linux AAO desktop just fine. A marvelous program. 
com.ichi2.anki#172570:	   It doesn't save the cards you spend hours typing 
com.ichi2.anki#172573:	   would be excellent, if hadn't CRASH almost every single time I use it (I always send the crash reports, and it says "known issue, pending investigation" so, will you fix it please?) 
com.ichi2.anki#172575:	   It's good app, but today I can't continue my process because app crashed. Nexus 4, error log sent. Please fix it ASAP. Thanks 
com.ichi2.anki#172594:	  I use it for learning Chinese. I love how easy it is to make your own cards and that the app automatically learns which things you need to review more often and which you don't because you know them well. 
com.ichi2.anki#172601:	   At first it was alright, but now it just stays there saying 'opening collection, please wait' and well no matter how much I wait it doesn't work . 
com.ichi2.anki#172604:	   Andoroid on the nook. Full of bugs when I want a new deck, doesn't search very efficiently and keeps saying the files are wrong when ever I try to download a deck. Very dissapointed. Full of bugs Annoying to use. NOT USER FRIENDLY! 
com.ichi2.anki#172614:	   IF YOUR CARDS ARE BLACK: Go to Preferences > Reviewing and check mark Simple Interface. Awesome learning app, took me a while to get my deck working since it apparently uses HTML but seeing as the problem is solved, this is a super convenient way to learn a new language. 
com.ichi2.anki#172640:	   Freezes or crashes when I'm in the middle of reviewing, and then loses my progress. 
com.ichi2.anki#172642:	  Main advantage: works offlinenMain disadvantage: synchronization often fails and you have to upload/download ALL data again 
com.ichi2.anki#172658:	   My Arabic flashcards are hard to edit. Why isn't there a way of editing them in bulk ? It would save time, because so far the only way to increase font size (the eternal problem with Arabic) is to edit them from my laptop anki 
com.ichi2.anki#172668:	   I have reccommended this app to anyone studying anything I would give 5 stars but the photos I made a deck with on my computer wont display on my phone when synced with anki web. Please fix this! 
com.ichi2.anki#172671:	    in note 2. Please fix it 
com.ichi2.anki#172680:	   Can't sync from a computer 
com.ichi2.anki#172681:	   I'm in med school. The neuroscience block is a ~6 week period where students are pushed to the limit regarding memorization skills. Students are expected to learn well over 1,000 definitions over a 6 week period. I didn't truly realize this hefty requirement until roughly 10 days before the exam, as I was busy with practice questions and conceptual learning (usually the best way to study but NOT for the neuroscience block). I frantically searched for a worthy flashcard app. I had one I was happy with but it just couldn't handle the magnitude of flashcards I needed to make. Long story short, I learned over 1,000 definitions in 10 days with Anki... I should have failed... badly. I made a strong B instead. 1)Free on Google Play ($30 on iTunes) 2)Free desktop app with sync between devices and Mac/PC 3)More options/settings than I will ever need 4)Neuroscience Fact: Your brain has the capacity to store more information than you could memorize in 100 lifetimes (and much more) so download Anki, learn how to use it (~15min) and quickly master any type of information you want. 4a)This is NOT just perfect for language, Anki's learning algorithm is perfect for memorizing. Period. 
com.ichi2.anki#172686:	   Keeps crashing on my HTC incredible 4g 
com.ichi2.anki#172689:	   Could someone please tell me, why do I, more often than not, get an error message "this is not a valid apkg file", upon completion of getting (or at least trying to get) shared decks? Thanks in advance. 
com.ichi2.anki#172705:	   Excellent app. However, I found that text-to-speech wasn't working for me. Something about the right language not being available even though the cards were in English. Also, I don't like the icon. It's not important really, but a new squarer icon would be cool. There should be a quicker way to increase the custom study list for when you want to keep going. A one-touch more button maybe. Still hoping for a study program that can be operated hands-free with voice control. Good work, Anki developers. 
com.ichi2.anki#172709:	   The only problem with it is that it's so awesome and I wish I found it sooner. Then the huge foreign language vocabulary exam would be easier. I am 100% going to use this for the rest of my life. Thank you so much! 
com.ichi2.anki#172710:	   Would appreciate it if there was some way of removing the formatting for the font for the entire deck without having to edit several thousand cards. I created it on AnkiWeb =( for some reason, doesn't sync with my desktop app 
com.ichi2.anki#172715:	   I was impressed with the initial concept of this app but when it came down to the key function of it actually downloading shared apps all I got where error messages telling me the file was invalid. Also the ui is atrocious. 
com.ichi2.anki#172718:	   I know its problem from my side sogiving 4 stars (as yet i dont know much abt app). When i type something, it doesnt search for me, i get blank screen, noting happens. Any help? (I also tried different keywords) Edited: thank u for ur reply and making it free. I downloaded some cards thro pc browser, and it worked. It will be great tp be able to download via this app. But still this app owns 5stars. 
com.ichi2.anki#172727:	   Get "error" when I try to access shared decks. Now get constant network error when trying to log in. Had to uninstall. 
com.ichi2.anki#172731:	   Ankidroid helps me in learning Japanese vocabulary. I would use it if I wanna learn new language or other thing. Thx for fixing the bug. Love this app. 
com.ichi2.anki#172734:	   I've never made flashcards in the past. They didn't work for me and I didn't see the point. By learning how to use this app, my Japanese language skills have improved dramatically. It would be nearly impossible for me to remember more than 300 characters without a program like this. Highly recommended. 
com.ichi2.anki#172740:	   It just doesn't sync with the desktop.. 
